Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,EID
"Kane M.K., Atkinson A., Menden-Deuer S.","Lowered cameras reveal hidden behaviors of Antarctic krill",2021,"Current Biology","31","5",,"R237","R238",,"10.1016/j.cub.2021.01.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101899214&doi=10.1016%2fj.cub.2021.01.091&partnerID=40&md5=4d8c0ea417f48f30de5cb3000e8f6325","Antarctic krill (Euphausia superba, hereafter ‘krill’) exemplify the methodological challenges of studying small, mobile, aggregating pelagic organisms.1 Krill are a central species in the Southern Ocean food web, provide important biogeochemical functions and support a valuable commercial fishery.2 Most of what we know about krill has been derived from acoustic surveys and net samples, the former being essential for estimating krill biomass and catch limits. However, understanding krill behavior, particularly in the poorly-studied autumn–winter seasons, is key for management and conservation. Here, we used seasonal video observations collected with a profiling camera system of krill along the Western Antarctic Peninsula to reveal krill vertical distribution, aggregation density and individual behaviors that have remained hidden from traditional sampling methods.3 Kane et al. used a lowered camera system to observe krill behaviors, including novel benthic feeding methods and links between individual behaviors and aggregation densities. © 2021 Elsevier Inc.",2-s2.0-85101899214
"Veytia D., Corney S., Meiners K.M., Kawaguchi S., Murphy E.J., Bestley S.","Circumpolar projections of Antarctic krill growth potential",2020,"Nature Climate Change","10","6",,"568","575",,"10.1038/s41558-020-0758-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085191189&doi=10.1038%2fs41558-020-0758-4&partnerID=40&md5=f10af1c24ec3e40da21d5618a67554d5","Antarctic krill is a key species of important Southern Ocean food webs, yet how changes in ocean temperature and primary production may impact their habitat quality remains poorly understood. We provide a circumpolar assessment of the robustness of krill growth habitat to climate change by coupling an empirical krill growth model with projections from a weighted subset of IPCC Earth system models. We find that 85% of the study area experienced only a moderate change in relative gross growth potential (± 20%) by 2100. However, a temporal shift in seasonal timings of habitat quality may cause disjunctions between krill’s biological timings and the future environment. Regions likely to experience habitat quality decline or retreat are concentrated near the northern limits of krill distribution and in the Amundsen–Bellingshausen seas region during autumn, meaning habitat will likely shift to higher latitudes in these areas. © 2020, The Author(s), under exclusive licence to Springer Nature Limited.",2-s2.0-85085191189
"Garcia M.D., Sofia Dutto M., Chazarreta C.J., Berasategui A.A., Schloss I.R., Hoffmeyer M.S.","Micro- And mesozooplankton successions in an Antarctic coastal environment during a warm year",2020,"PLoS ONE","15","5","e0232614","","",,"10.1371/journal.pone.0232614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084790748&doi=10.1371%2fjournal.pone.0232614&partnerID=40&md5=cb16bf96fa2f723d55d05db7332279ac","The rapid increase in atmospheric temperature detected in the last decades in the Western Antarctic Peninsula was accompanied by a strong glacier retreat and an increase in production of melting water, as well as changes in the sea-ice dynamic. The objective of this study was to analyze the succession of micro- and mesozooplankton during a warm annual cycle (December 2010-December 2011) in an Antarctic coastal environment (Potter Cove). The biomass of zooplankton body size classes was used to predict predator-prey size relationships (i.e., to test bottom-up/top-down control effects) using a Multiple Linear Regression Analysis. The micro- and mesozooplanktonic successions were graphically analyzed to detect the influence of environmental periods (defined by the degree of glacial melting, sea-ice freezing and sea-ice melting) on coupling/uncoupling planktonic biomass curves associated to possible predator-prey size relationship scenarios. At the beginning of the glacial melting, medium and large mesozooplankton (calanoid copepods, Euphausia superba, and Salpa thompsoni) exert a top-down control on Chl-a and microzooplankton. Stratification of the water column benefitted the availability of adequate food-size (Chl-a <20) for large microzooplankton (tintinnids) development observed during fall. High abundance of omnivores mesozooplankton (Oithona similis and furcilia of E. superba) during sea-ice freezing periods would be due to the presence of available heterotrophic food under or within the sea ice. Finally, the increase in microzooplankton abundance in the middle of spring, when sea-ice melting starts, corresponded to small and medium dinoflagellates and ciliates species, which were possibly part of the biota of sea ice. If glacier retreat continues and the duration and thickness of the sea ice layer fluctuates as predicted by climate models, our results predict a future scenario regarding the zooplankton succession in Antarctic coastal environments. © 2020 Garcia et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2-s2.0-85084790748
"Ruijie W., Qingyuan Y., Guoping Z.","Fatty acid composition of spiny icefish (chaenodraco wilsoni) in the bransfield strait, antarctic during summer - Autumn 2016 and its implication to diet [2016 年夏秋季南极布兰斯菲尔德海峡威氏棘冰鱼脂肪酸组成及其食性指示研究]",2020,"Chinese Journal of Polar Research","32","1",,"82","89",,"10.13679/j.jdyj.20190001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106512931&doi=10.13679%2fj.jdyj.20190001&partnerID=40&md5=1012418baee62221c4402da6b08d6862","Spiny icefish (Chaenodraco wilsoni) plays an important role in the transfer of energy between marine predators and prey organisms, and is the target species of the demersal trawl fishery late 1970s and is one of bycatch species for the Antarctic krill fishery in recent years. However, information on its diet and nutritional characteristics are very limited. We analyzed the content and composition of fatty acids in muscle tissues of spiny icefish collected from the Bransfield Strait, and further explored the diet of spiny icefish using marker fatty acids. Standard lengths of fish samples ranged from 4.8 to 30.7 cm and wet weights ranged from 0.3 to 250.5 g. We found 29 fatty acids, of which C16:0, C18:0, C18:1 n9c, C20:5 n3 (EPA) and C22:6 n3 (DHA), were dominant; polyunsaturated fatty acid was the most abundant, followed by saturated fatty acids, and monounsaturated fatty acids were the least abundant. There was no statistically significant correlation between fish size and marker fatty acids, indicating that the diet of spiny icefish was not varied with ontogeny. Spiny icefish is omnivorous, and feed mainly on diatoms and Antarctic krill (Euphausia superba) during autumn and winter, some benthic organisms, copepods and seabed debris are fed by this species. © 2020 Editorial Office of Polar Research. All rights reserved.",2-s2.0-85106512931
"Ericson J.A., Hellessey N., Nichols P.D., Nicol S., Kawaguchi S., Hoem N., Virtue P.","New insights into the seasonal diet of Antarctic krill using triacylglycerol and phospholipid fatty acids, and sterol composition",2019,"Polar Biology","42","11",,"1985","1996",,"10.1007/s00300-019-02573-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073534144&doi=10.1007%2fs00300-019-02573-6&partnerID=40&md5=f9904e1c16b8f845bd2b85a9ae6536aa","Fatty acid analysis for estimating dietary sources in marine predators is a powerful tool in food web research. However, questions have been raised about using fatty acids as dietary indicators from whole lipid samples, rather than from separate lipid classes. A drawback of scientific field-based studies is that samples are rarely collected over extended periods, precluding seasonal dietary comparisons. We used fisheries samples obtained over one year to investigate seasonal variations in the fatty acid composition of separated phospholipids and triacylglycerols of Antarctic krill (Euphausia superba). Seasonal variation was observed in fatty acid biomarkers within triacylglycerol and phospholipid fractions of krill. Fatty acids in krill triacylglycerols (thought to best represent recent diet), reflected omnivorous feeding with highest percentages of flagellate biomarkers (18:4n-3) in summer, and diatom biomarkers (16:1n-7c) in autumn, winter and spring. Carnivory biomarkers (∑ 20:1 + 22:1 and 18:1n-9c/18:1n-7c) in krill were higher in autumn. Phospholipid fatty acids were less variable and higher in 20:5n-3 and 22:6n-3, which are essential components of cell membranes. Sterol composition did not yield detailed dietary information, but percentages and quantities of cholesterol, the major krill sterol, were significantly higher in winter and spring compared with summer and autumn. Copepod markers ∑ 20:1 + 22:1 were not strongly associated with the triacylglycerol fraction during some seasons, and neither was 18:4n-3. Krill might mobilise 18:4n-3 from triacylglycerols to phospholipids for conversion to long-chain (≥ C20) polyunsaturated fatty acids, which would have implications for its role as a dietary biomarker. For the first time, we demonstrate the dynamic seasonal relationship between specific biomarkers and krill lipid classes. © 2019, Crown.",2-s2.0-85073534144
"Perry F.A., Atkinson A., Sailley S.F., Tarling G.A., Hill S.L., Lucas C.H., Mayor D.J.","Habitat partitioning in Antarctic krill: Spawning hotspots and nursery areas",2019,"PLoS ONE","14","7","e0219325","","",,"10.1371/journal.pone.0219325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069712360&doi=10.1371%2fjournal.pone.0219325&partnerID=40&md5=3aaf1f79ed22c0de9a762f7ddedbb29b","Antarctic krill, Euphausia superba, have a circumpolar distribution but are concentrated within the south-west Atlantic sector, where they support a unique food web and a commercial fishery. Within this sector, our first goal was to produce quantitative distribution maps of all six ontogenetic life stages of krill (eggs, nauplii plus metanauplii, calyptopes, furcilia, juveniles, and adults), based on a compilation of all available post 1970s data. Using these maps, we then examined firstly whether “hotspots” of egg production and early stage nursery occurred, and secondly whether the available habitat was partitioned between the successive life stages during the austral summer and autumn, when krill densities can be high. To address these questions, we compiled larval krill density records and extracted data spanning 41 years (1976–2016) from the existing KRILLBASE-abundance and KRILLBASE-length-frequency databases. Although adult males and females of spawning age were widely distributed, the distribution of eggs, nauplii and metanauplii indicates that spawning is most intense over the shelf and shelf slope. This contrasts with the distributions of calyptope and furcilia larvae, which were concentrated further offshore, mainly in the Southern Scotia Sea. Juveniles, however, were strongly concentrated over shelves along the Scotia Arc. Simple environmental analyses based on water depth and mean water temperature suggest that krill associate with different habitats over the course of their life cycle. From the early to late part of the austral season, juvenile distribution moves from ocean to shelf, opposite in direction to that for adults. Such habitat partitioning may reduce intraspecific competition for food, which has been suggested to occur when densities are exceptionally high during years of strong recruitment. It also prevents any potential cannibalism by adults on younger stages. Understanding the location of krill spawning and juvenile development in relation to potentially overlapping fishing activities is needed to protect the health of the south-west Atlantic sector ecosystem. © 2019 Perry et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2-s2.0-85069712360
"Henschke N., Pakhomov E.A.","Latitudinal variations in Salpa thompsoni reproductive fitness",2019,"Limnology and Oceanography","64","2",,"575","584",,"10.1002/lno.11061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062896077&doi=10.1002%2flno.11061&partnerID=40&md5=712e7304130d8dfce4811ee01b4dc98d","Salpa thompsoni is a major grazer that plays a significant and disproportionate role in the Southern Ocean biogeochemical cycle. It occurs in higher numbers in the warmer mid-latitude waters of the Southern Ocean. In recent decades, salp populations shifted significantly southward intruding into areas generally dominated by Antarctic krill. It is unclear whether salps can survive in high latitude waters because of their hypothesized negative reproductive response to low temperatures and scarcity of food. To explore how environmental conditions impact S. thompsoni reproductive fitness, we examined a long-term (1993–2013), cross-latitudinal dataset of S. thompsoni population demographics in the Atlantic sector of the Southern Ocean. Observations cover over 25° of latitude, from just south of the Subtropical Convergence to the Antarctic continent. S. thompsoni populations were strongly driven by temperature with higher abundances observed at temperatures between 3°C and 5°C. Occasionally, dense and mature populations of S. thompsoni occurred at high latitudes during summer, declining in density by autumn, which was accompanied by significant increases in the appearance of failed embryos. The proportion of failed embryos was significantly correlated with decreasing temperature and Chl a, indicating the importance of these parameters in autumn and high latitude population collapses. The successful development and release of an embryo is a critical factor determining the persistence of S. thompsoni populations. Blastozooid bud release occurred continuously from spring to autumn, and may be a way S. thompsoni populations mitigate against the sensitivity of the blastozooid's reproductive fitness to high-Antarctic conditions. © 2018 Association for the Sciences of Limnology and Oceanography",2-s2.0-85062896077
"Saunders R.A., Collins M.A., Shreeve R., Ward P., Stowasser G., Hill S.L., Tarling G.A.","Seasonal variation in the predatory impact of myctophids on zooplankton in the Scotia Sea (Southern Ocean)",2018,"Progress in Oceanography","168",,,"123","144",,"10.1016/j.pocean.2018.09.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053758135&doi=10.1016%2fj.pocean.2018.09.017&partnerID=40&md5=8e57f3bdf3234d1c5237395d322eefa7","Myctophids are the biomass-dominant mesopelagic fishes in the Southern Ocean, but their trophic role within the pelagic food web south of the Antarctic Polar Front is poorly resolved from a seasonal perspective at the ocean-basin scale. In this study, the predatory impact of the predominant Southern Ocean myctophid community (Electrona antarctica, Electrona carlsbergi, Gymnoscopelus braueri, Gymnoscopelus fraseri, Gymnoscopelus nicholsi, Protomyctophum bolini, Protomyctophum tenisoni, Protomyctophum choriodon, Krefftichthys anderssoni and Nannobrachium achirus) on their zooplankton prey was examined during austral spring, summer and autumn in the Scotia Sea, one of the most productive regions of the Southern Ocean. Seasonal variations in diet and predation rates were apparent for all species. Based on the percentage index of relative importance, myctophids had high overlap in their diets, with all species mostly consuming copepods, small euphausiids and amphipods. Myctophid size was a key determinant of diet in the region, with larger species and intra-specific size classes consuming larger prey. Cluster analyses revealed myctophid feeding guilds that appeared to change seasonally, although there was little evidence of dietary specialisation. Myctophid predation on the daily productivity of most copepod species was relatively low across seasons (<7%), except for Calanus simillimus that was predated upon highly in summer (∼26%). From the macrozooplankton component of the prey field, the myctophid community consumed substantial proportions of the euphausiid Thysanoessa spp. in each season (∼7 to 76% daily productivity), particularly in summer. Relatively high proportions of the daily Antarctic krill (Euphausia superba) productivity (∼8–58%) were also consumed by the larger myctophid species, particularly in summer by Electrona antarctica, suggesting increased competition for krill resources during the higher predator breeding season and possible reductions in food web stability during periods of reduced krill availability at this time. The amphipod Themisto gaudichaudii formed an important part of the larger myctophid species’ diet in all seasons, with between 10 and 38% of its daily productivity being consumed. Myctophid predation on the daily productivity of salps was up to 4%, whilst their impact on ostracods and pteropods was negligible (<0.1% of daily productivity) in all seasons. This study demonstrates that Southern Ocean myctophids link secondary productivity to higher predators through both krill-independent and krill-dependent trophic pathways across seasons, with myctophids comprising a more krill-dependent pathway during austral summer. © 2018",2-s2.0-85053758135
"Zhu G., Yang Y., Wang R., Tong J.","Diel vertical migration of Antarctic krill (Euphausia superba) swarm in the Bransfield Strait during austral autumn 2016 inferred from acoustic data and its relations to environmental factors",2018,"Journal of Fisheries of China","42","10",,"1541","1549",,"10.11964/jfc.20170810919","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054827813&doi=10.11964%2fjfc.20170810919&partnerID=40&md5=8cefaf75f4624d313f4962a076c21815","Recently, krill fishery has concentrated increasingly in the Bransfield Strait, and krill abundance and ecological characteristics have received much attention. Antarctic krill (Euphausia superba) presents significant diel vertical migration (DVM) pattern, such studies were conducted to provide the basic data for exploring the formation mechanism of fishing ground and the reference for feedback management of krill fishery. Scientific acoustic device mounted in fishing vessels can reflect directly the distribution and vertical movement of krill in the water column. Based on the acoustic data recorded by Simrad EK 80 used in krill fishing vessel, krill swarms were identified using Echoview software.The present study analyzed DVM of krill in the Bransfield Strait during the austral autumn 2016 and the factors that impact DVM of krill were further explored. The results indicate that the depth of krill swarm maintained to above 250 m, the highest frequency of average deepest (shallowest) krill swarm occurs at sunrise (at night). The largest thickness of krill swarm presents at sunrise. Krill swarms are distributed in the deeper water column in the daytime, but move to the shallower depth at night. Compared to March, the average depth of krill swarms increased in April. Brightness and bottom depth are the main factors that impacted depth change of krill swarms. © 2018 Shanghai Ocean University. All rights reserved.",2-s2.0-85054827813
"Piccolin F., Suberg L., King R., Kawaguchi S., Meyer B., Teschke M.","The seasonal metabolic activity cycle of antarctic krill (Euphausia superba): Evidence for a role of photoperiod in the regulation of endogenous rhythmicity",2018,"Frontiers in Physiology","9",,"1715","","",,"10.3389/fphys.2018.01715","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086081194&doi=10.3389%2ffphys.2018.01715&partnerID=40&md5=0f8a5b996c2e4b7a59a365f9626fe7f8","Antarctic krill (Euphausia superba), a key species in the Southern Ocean, reduce their metabolism as an energy saving mechanism in response to the harsh environmental conditions during the Antarctic winter. Although the adaptive significance of this seasonal metabolic shift seems obvious, the driving factors are still unclear. In particular, it is debated whether the seasonal metabolic cycle is driven by changes in food availability, or if an endogenous timing system entrained by photoperiod might be involved. In this study, we used different long-term photoperiodic simulations to examine the influence of light regime and endogenous rhythmicity on the regulation of krill seasonal metabolic cycle. Krill showed a seasonal cycle of growth characterized by null-to-negative growth rates during autumn-winter and positive growth rates during spring-summer, which was manifested also in constant darkness, indicating strong endogenous regulation. Similar endogenous cycles were observed for the activity of the key-metabolic enzyme malate dehydrogenase (MDH) and for the expression levels of a selection of metabolic-related genes, with higher values in spring-summer and lower values in autumn-winter. On the other side, a seasonal cycle of oxygen consumption was observed only when krill were exposed to simulated seasonal changes in photoperiod, indicating that light-related cues might play a major role in the regulation of krill oxygen consumption. The influence of light-regime on oxygen consumption was minimal during winter, when light-phase duration was below 8 h, and it was maximal during summer, when light-phase duration was above 16 h. Significant upregulation of the krill clock genes clk, cry2, and tim1, as well as of the circadian-related opsins rh1a and rrh, was observed after light-phase duration had started to decrease in early autumn, suggesting the presence of a signaling cascade linking specific seasonal changes in the Antarctic light regime with clock gene activity and the regulation of krill metabolic dormancy over the winter. © 2018 Piccolin, Suberg, King, Kawaguchi, Meyer and Teschke.",2-s2.0-85086081194
