Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,EID
"Green D.B., Bestley S., Corney S.P., Trebilco R., Lehodey P., Hindell M.A.","Modeling Antarctic Krill Circumpolar Spawning Habitat Quality to Identify Regions With Potential to Support High Larval Production",2021,"Geophysical Research Letters","48","12","e2020GL091206","","",,"10.1029/2020GL091206","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108595075&doi=10.1029%2f2020GL091206&partnerID=40&md5=6d85fa631f3ef34461e88457655d18bf","Antarctic krill (krill) are important within Southern Ocean ecosystems and support an expanding fishery. Toward understanding krill's response to environmental change, it is necessary to identify regions that support high krill larval production (spawning habitat). We develop a mechanistic model combining thermal and food requirements for krill egg production, with predation pressure post-spawning, to predict regions of high-quality spawning habitat. We optimize our model regionally and generate circumpolar predictions of spawning habitat quality. Our results indicate the southwest Atlantic accounts for almost half of all predicted high-quality spawning habitat. Small-scale management units (SSMUs) around the Antarctic Peninsula had high coverage of high-quality spawning habitat. In contrast, the remaining SSMUs (except around South Georgia) were poorly covered, suggestive of population sinks reliant on input from external sources upstream. This implies strong potential for downstream impacts of fishing in key spawning areas, with implications for management of SSMUs and the krill fishery. © 2021. American Geophysical Union. All Rights Reserved.",2-s2.0-85108595075
"Tarling G.A., Hobbs C., Johnson M.L., Färber Lorda J.","Comparative morphology of Southern Ocean Euphausia species: ecological significance of sexual dimorphic features",2020,"Polar Biology","43","12",,"2043","2058",,"10.1007/s00300-020-02764-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094979023&doi=10.1007%2fs00300-020-02764-6&partnerID=40&md5=edfbb2bf266dcbd3baf470c71bdbe88c","Species of the genus Euphausia dominate the euphausiid biomass of the Southern Ocean, the three largest being Euphausia superba, E. triacantha and E. crystallorophias. We measured a number of morphological features to identify differences between, and within, these species to obtain ecological insights. Interspecifically, the greatest difference was carapace size, with that of E. superba being by far the largest and most variable. This likely reflects its prolific spawning capacity compared with other euphausiid species. E. triacantha exhibited an extended sixth abdominal segment that could facilitate greater levels of thrust in the tail flip escape response. The pleopods, which provide propulsion in forward swimming, were more than 50% larger in E. superba, indicating a greater capacity for directional movement at high velocities. E. crystallorophias had eyes that were almost double the size of those in E. superba and E. triacantha, which may help retain visual resolution within its under-ice habitat. Intraspecifically, we found the above morphological features differed little between sexes and developmental stages in E. crystallorophias and E. triacantha, but differed significantly in E. superba. Compared to females and juveniles, male E. superba had significantly larger eyes and pleopods, whilst the carapace in males became shorter as a proportion of body length during growth. These features indicate a greater capacity for searching and swimming in males, which, we hypothesise, increases their ability to locate and fertilise females. This morphological specialisation in male E. superba is indicative of comparatively greater inter-male competition resulting from its tendency to form large, dense swarms. © 2020, Springer-Verlag GmbH Germany, part of Springer Nature.",2-s2.0-85094979023
"Reiss C.S., Hinke J.T., Watters G.M.","Demographic and maturity patterns of Antarctic krill (Euphausia superba) in an overwintering hotspot",2020,"Polar Biology","43","9",,"1233","1245",,"10.1007/s00300-020-02704-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089187421&doi=10.1007%2fs00300-020-02704-4&partnerID=40&md5=ec8c4c8dc06d2dcbcfe89922eea9cd34","Overwinter environmental conditions are a major driver of larval survival, recruitment, and reproductive pre-conditioning in Antarctic krill (Euphausia superba). Few winter studies exist from which to infer impacts of changing environmental conditions on the biology of krill. Here demographic and maturity patterns of krill during five winters are examined at an overwintering hotspot in the northern Antarctic Peninsula. Two different recruitment pulses were present over the 5 years of the study. A large recruitment event was evident in winter 2012, followed by cohort growth tracked through winter 2014. A recruitment event also occurred in 2015, despite lower abundance of larvae in 2013 and 2014. The recruitment pulse in 2015 was correlated with the intrusion of high salinity water, characteristic of the Weddell Sea, during a positive El Niño–Southern Oscillation phase, suggesting recruitment was driven by advection of recruits into the northern Antarctic Peninsula. Despite the inter-annual environmental variability, most female krill were in resting reproductive stages in all years. The lack of variability in female reproductive status during winter may impose a developmental constraint to earlier spawning than previously considered; the time necessary to advance from resting stages to reproductive maturity may limit the ability of krill to adapt to trends in the timing and magnitude of the spring bloom. The observed patterns of recruitment and variation in maturity stages highlight the complexity of krill population dynamics and should be considered when projecting population responses of Antarctic krill to climate-driven changes in the Southern Ocean. © 2020, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.",2-s2.0-85089187421
"Perry F.A., Kawaguchi S., Atkinson A., Sailley S.F., Tarling G.A., Mayor D.J., Lucas C.H., King R., Cooper A.","Temperature–Induced Hatch Failure and Nauplii Malformation in Antarctic Krill",2020,"Frontiers in Marine Science","7",,"501","","",,"10.3389/fmars.2020.00501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087501321&doi=10.3389%2ffmars.2020.00501&partnerID=40&md5=8000552e82670315a98b33d3fdf14e16","Antarctic krill inhabit areas of the Southern Ocean that can exceed 4.0°C, yet they preferentially inhabit regions with temperatures of −1.5 to ≤1.5°C. Successful embryonic development and hatching are key to their life cycle, but despite the rapid climatic warming seen across their main spawning areas, the effects of elevated temperatures on embryogenesis, hatching success, and nauplii malformations are unknown. We incubated 24,483 krill embryos in two independent experiments to investigate the hypothesis that temperatures exceeding 1.5°C have a negative impact on hatching success and increase the numbers of malformed nauplii. Field experiments were on krill collected from near the northern, warm limit of their range and embryos incubated soon after capture, while laboratory experiments were on embryos from krill acclimated to laboratory conditions. The hatching success of embryo batches varied enormously, from 0 to 98% (mean 27%). Both field and laboratory experiments showed that hatching success decreased markedly above 3.0°C. Our field experiments also showed an approximate doubling of the percentage of malformed nauplii at elevated temperatures, reaching 50% at 5.0°C. At 3.0°C or below, however, temperature was not the main factor driving the large variation in embryo hatching success. Our observations of highly variable and often low success of hatching to healthy nauplii suggest that indices of reproductive potential of female krill relate poorly to the subsequent production of viable krill larvae and may help to explain spatial discrepancies between the distribution of the spawning stock and larval distribution. © Copyright © 2020 Perry, Kawaguchi, Atkinson, Sailley, Tarling, Mayor, Lucas, King and Cooper.",2-s2.0-85087501321
"Kinzey D., Watters G.M., Reiss C.S.","Estimating recruitment variability and productivity in Antarctic krill",2019,"Fisheries Research","217",,,"98","107",,"10.1016/j.fishres.2018.09.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054417670&doi=10.1016%2fj.fishres.2018.09.027&partnerID=40&md5=e5364bb00e42f45cd67f0f9c9d363030","Three alternative forms of the spawner-recruit relationship – the Beverton-Holt and two expressions of the Ricker function - and a fourth form representing annual recruitment deviations without an explicit relationship to spawning biomass, were applied in an integrated assessment model for Antarctic krill. Model data were from the international krill fishery and U.S. AMLR surveys in the Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR) Subarea 48.1, the area around the Antarctic peninsula where the majority of recent fishing for krill has taken place. Sensitivity tests using pre-specified values for the standard deviation of the logarithm of annual recruitment residuals (σR) and productivity (steepness, h) for the relationship between spawning biomass and subsequent recruitment indicated that neither the Beverton-Holt nor Ricker functions were superior to configurations of the model that did not assume a spawner-recruit relationship. As the predictive power of the spawner-recruit functions was reduced by increasing the value of σR the fit to the data improved. All the functions fitted the data best when σR was large enough so that random recruitment with respect to spawning biomass was produced. The alternative functions produced the same time series of recruitment and spawning biomass estimates when they were determined by the data rather than forced towards an assumed relationship. Although the Beverton-Holt and Ricker models were poor predictors of the data, cross-correlations of the recruitment predictions with the spawning biomass predictions from the best models indicated that recruitment was statistically correlated with spawning biomasses in the previous two to four years. The highest correlation (0.58) was with spawning biomass three years previously. Correlations in the reverse direction, with spawning biomass following recruitment were insignificant. These results suggest that recruitment variability does not influence subsequent spawning biomass in krill. They leave open the possibility that krill spawning biomass could influence subsequent recruitment, but not as modeled in the Beverton-Holt or Ricker functions with a one-year lag and the pre-specified von Bertalanffy growth. © 2018",2-s2.0-85054417670
"Kinzey D., Watters G.M., Reiss C.S.","Parameter estimation using randomized phases in an integrated assessment model for Antarctic krill",2019,"PLoS ONE","13","8","e0202545","","",,"10.1371/journal.pone.0202545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053669712&doi=10.1371%2fjournal.pone.0202545&partnerID=40&md5=a985720f0a171ed40de47c04e29d4b0c","An integrated model assessing the status and productivity of Antarctic krill (Euphausia superba, hereafter krill) was configured to estimate different subsets of 118 potentially estimable parameters in alternative configurations. We fixed the parameters that were not estimated in any given configuration at pre-specified values. The model was fitted to over forty years of fisheries and survey data for krill in Subarea 48.1, a statistical reporting area around the Antarctic Peninsula used by the Commission for the Conservation of Antarctic Marine Living Resources (CCAMLR). The number of estimated parameters was gradually increased across model configurations. Configurations that estimated more parameters fitted the data better, but the order in which the parameters were estimated became more important in finding the best fit. Twenty-two configurations estimating from 48 to 107 parameters were able to obtain an invertible Hessian matrix that was subsequently used to estimate parameter uncertainty. Parameter uncertainties calculated using asymptotic approximation around the maximum likelihood estimates were often larger than uncertainties based on Markov chain Monte Carlo sampling for the same parameters. Diagnostics applied to MCMC samples in the best model of each configuration that obtained an invertible Hessian indicated that the most highly parameterized configurations did not reach stationary distributions. A 96-parameter configuration was the best fitting model of those that passed the MCMC diagnostics. The ?AIC and ?BIC scores indicated essentially no support relative to the best model for the alternative models that also passed MCMC diagnostics. Simulated data using the configurations as operating models showed that while all configurations passed ""self-tests"" for spawning biomass and recruitment, there was a small negative bias due to model penalties in the fishing mortality estimates for years with the highest fishing mortalities. ""Cross-tests"" of configurations that estimated different parameters often differed from the operating model values. © 2018 Public Library of Science. All rights reserved.",2-s2.0-85053669712
"Perry F.A., Atkinson A., Sailley S.F., Tarling G.A., Hill S.L., Lucas C.H., Mayor D.J.","Habitat partitioning in Antarctic krill: Spawning hotspots and nursery areas",2019,"PLoS ONE","14","7","e0219325","","",,"10.1371/journal.pone.0219325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069712360&doi=10.1371%2fjournal.pone.0219325&partnerID=40&md5=3aaf1f79ed22c0de9a762f7ddedbb29b","Antarctic krill, Euphausia superba, have a circumpolar distribution but are concentrated within the south-west Atlantic sector, where they support a unique food web and a commercial fishery. Within this sector, our first goal was to produce quantitative distribution maps of all six ontogenetic life stages of krill (eggs, nauplii plus metanauplii, calyptopes, furcilia, juveniles, and adults), based on a compilation of all available post 1970s data. Using these maps, we then examined firstly whether “hotspots” of egg production and early stage nursery occurred, and secondly whether the available habitat was partitioned between the successive life stages during the austral summer and autumn, when krill densities can be high. To address these questions, we compiled larval krill density records and extracted data spanning 41 years (1976–2016) from the existing KRILLBASE-abundance and KRILLBASE-length-frequency databases. Although adult males and females of spawning age were widely distributed, the distribution of eggs, nauplii and metanauplii indicates that spawning is most intense over the shelf and shelf slope. This contrasts with the distributions of calyptope and furcilia larvae, which were concentrated further offshore, mainly in the Southern Scotia Sea. Juveniles, however, were strongly concentrated over shelves along the Scotia Arc. Simple environmental analyses based on water depth and mean water temperature suggest that krill associate with different habitats over the course of their life cycle. From the early to late part of the austral season, juvenile distribution moves from ocean to shelf, opposite in direction to that for adults. Such habitat partitioning may reduce intraspecific competition for food, which has been suggested to occur when densities are exceptionally high during years of strong recruitment. It also prevents any potential cannibalism by adults on younger stages. Understanding the location of krill spawning and juvenile development in relation to potentially overlapping fishing activities is needed to protect the health of the south-west Atlantic sector ecosystem. © 2019 Perry et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2-s2.0-85069712360
"Thorpe S.E., Tarling G.A., Murphy E.J.","Circumpolar patterns in antarctic krill larval recruitment: An environmentally driven model",2019,"Marine Ecology Progress Series","613",,,"77","96",,"10.3354/meps1288","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063538355&doi=10.3354%2fmeps1288&partnerID=40&md5=6467959d7c62e95d8fd05ad27c546fc5","Larval recruitment in Antarctic krill is known to be episodic and regional. We consider the importance of a range of recruitment factors using an environmentally driven model of larval development from spawning to post-larvae. Our model examines the timing of spawning, interaction with bathymetry, susceptibility to cold temperatures, temperature-driven development and the seasonal cycle of sea ice to identify those factors with the greatest impact. The model predicts that the seasonal location of sea ice is the main limiting factor for successful larval recruitment. Spawning in January leads to the greatest area of viable larval recruitment habitat. Dense sea ice cover, which we assume that adult krill do not spawn under, prevents spawning in large areas early in the breeding season (December). Nevertheless, later spawning in February, when sea ice is at a minimum, means there is often insufficient time for the larvae to reach a viable developmental stage before the sea ice advances. Meanwhile, although spawning is possible in more northerly areas throughout the breeding season, these are generally remote from winter sea ice, which is assumed to be necessary for larvae to overwinter. Interaction with bathymetry before hatching further limits suitable habitat. Over a 12 yr period, the model predicted larval re - cruitment from January spawning in all years in the Cooperation, Ross and Weddell Seas, with episodic larval recruitment in the Bransfield Strait in 9 of the 12 years. Additional understanding of the overwintering requirements of larvae, together with regional studies at higher spatial resolution, particularly in shelf regions, will better constrain the uncertainties in the model. © 2019 Inter-Research. All Rights Reserved.",2-s2.0-85063538355
"Ding B., Zhu G.-P., Zhang H.-T.","Spatial-temporal variation in population structure of Antarctic krill (Euphausia superba)in the Scotia Sea, Antarctic in 2016 [2016年南极斯科舍海南极大磷虾种群结构的时空变化]",2018,"Chinese Journal of Applied Ecology","29","8",,"2763","2770",,"10.13287/j.1001-9332.201808.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054031662&doi=10.13287%2fj.1001-9332.201808.040&partnerID=40&md5=5eedfead68e276b4bb14fafe6ebebbcc","The Scotia Sea occupies the highest density of Antarctic krill (Euphausia superba), which is the traditional fishing ground of krill fishery. However, the population structure of krill differed significantly inter-annually, seasonally and regionally. In order to understand the population dynamics of krill in this region, we analyzed the spatial-temporal variation on population structure of krill using samples collected randomly from fishery survey during January to September 2016. The results showed that sex ratio presented remarkably difference among different months. Females dominated in the population from January to May, but the opposite result occurred from June to September. During the survey period (January to September), juveniles only presented in the January population, and the percentage of adult females was over 40% and similar to that in February. The proportion of sub-adult females were over 50%, but the proportion of female adults were decreased gradually from March to May. The sub-adult males predominated in the population from June to August. The proportion of sub-adult females increased significantly but the number of male adults decreased in September. Sub-adult females occupied half of population in the Bransfield Strait from February to May. The proportion of spent females (25.6%) was higher than those of individuals with other sexual maturity stages and the gravid females occupied higher percentage of population off northeastern waters of the King George Island in January. From June to September, about half of the population was mature males, but the proportion of mature females was very low off northeastern waters of the South Georgia Island. Maturity stage composition indicated that peak spawning occurred in January and February and that spawning grounds occurred off northeastern waters of the King George Island and in the Bransfield Strait. © 2018, Science Press. All right reserved.",2-s2.0-85054031662
"Xu H.G., Zhao M., Zheng K.K., Wei Y.L., Yan L., Liang M.Q.","Antarctic krill (Euphausia superba) meal in the diets improved the reproductive performance of tongue sole (Cynoglossus semilaevis) broodstock",2017,"Aquaculture Nutrition","23","6",,"1287","1295",,"10.1111/anu.12503","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033492415&doi=10.1111%2fanu.12503&partnerID=40&md5=cd484327d8f54c12986957ec9380baa9","A three-month feeding trial was conducted to investigate the effects of dietary krill meal on the reproductive performance of tongue sole broodstock. Three diets were formulated to contain different levels of krill meal, 0 (Diet K-0), 10 (K-100) and 200 (K-200) g kg–1 dry matter, replacing the corresponding contents of protein and lipid from fishmeal and fish oil. Each diet was assigned to triplicate tanks. Compared with K-0, both K-100 and K-200 increased the egg properties such as buoyant eggs rate, egg diameter, oil droplet diameter and SOD activity of the fertilized egg. However, the maturation rate, serum estradiol content, the relative fecundity and hatching rate were improved only by K-100. The krill meal supplementation increased the concentrations of astaxanthin and n-3 fatty acids in eggs, but decreased the n-6 fatty acid concentrations. Both K-100 and K-200 increased the survival activity index, but the larval deformity rate was decreased only by K-100. At 15 DPH, the larval length and the digestive enzyme activities were significantly higher in group K-200 compared with groups K-0 and K-100. In conclusion, dietary supplementation of krill meal, at the level of 100 or 200 g kg–1 dry matter in exchange of fishmeal and fish oil had the considerable positive effects on C. semilaevis reproduction. © 2017 John Wiley & Sons Ltd",2-s2.0-85033492415
