Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,EID
"Veytia D., Bestley S., Kawaguchi S., Meiners K.M., Murphy E.J., Fraser A.D., Kusahara K., Kimura N., Corney S.","Overwinter sea-ice characteristics important for Antarctic krill recruitment in the southwest Atlantic",2021,"Ecological Indicators","129",,"107934","","",,"10.1016/j.ecolind.2021.107934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109067248&doi=10.1016%2fj.ecolind.2021.107934&partnerID=40&md5=3b4e7a2fc72c897f6d990f60b1072d3a","Climate change alters the extent and structure of sea-ice environments, which affects how they function as a habitat for polar species. Identifying sea-ice characteristics that serve as indicators of habitat quality will be crucial to the monitoring and management of climate change impacts. In the Southern Ocean, Antarctic krill is a key prey species and fishery target. Krill larvae depend upon sea-ice habitats to survive the winter and recruit to the population in spring. Existing observations of sea-ice characteristics lack sufficient spatiotemporal coverage to quantify which ones contribute to favourable overwintering habitat, leading to uncertainties in how current and future changes in sea ice affect krill populations. Here, we derive regional-scale indices of annual krill recruitment spanning 35 years across the southwest Atlantic. To develop meaningful indicators of sea-ice habitat, we selected variables from a high-resolution sea-ice model that are hypothesized as relevant for larval habitat use. The resulting correlations between recruitment and sea-ice indicators vary by region and show remote connections to sea ice that correspond with established theories of larval transport. Through an improved representation of sea-ice habitat quality, as compared with using more traditional satellite-derived variables such as sea-ice extent and duration, we highlight plausible regions of overwintering habitat. Our findings improve current understanding of how krill are likely responding to changing sea ice and support emerging views that larval habitat use is complex. Furthermore, regional variation in larval dependence on sea ice may provide pockets of resilience to change for the broader krill population. © 2021",2-s2.0-85109067248
"Trathan P.N., Fielding S., Hollyman P.R., Murphy E.J., Warwick-Evans V., Collins M.A.","Enhancing the ecosystem approach for the fishery for Antarctic krill within the complex, variable, and changing ecosystem at South Georgia",2021,"ICES Journal of Marine Science","78","6",,"2065","2081",,"10.1093/icesjms/fsab092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117364854&doi=10.1093%2ficesjms%2ffsab092&partnerID=40&md5=7e0d808fc9aed3ee3505dd21bd881d98","The objective of the ecosystem approach to fisheries management is to sustain healthy marine ecosystems and the fisheries they support. One of the earliest implementations was in the Southern Ocean, where decision rules and stock reference points were developed for managing the Antarctic krill fishery, together with an ecosystem-monitoring programme intended to aid management decisions. This latter component has not been incorporated directly into management, so here, we consider variability in the krill fishery at South Georgia, relating it to physical and biological monitoring indices, finding sea surface temperature to be a key correlate with both annual catch and long-term biological indices. Some indices from krill predators showed significant positive relationships with krill harvesting in the preceding winter, presumably indicative of the importance of winter foraging conditions. We explore how ecological structure affects results, examining two monitoring sites 100 km apart. Results suggest different biological conditions at the two sites, probably reflecting different scales of ecosystem operation, emphasizing that an appreciation of scale will enhance krill fishery management. Finally, in reviewing different drivers of ecological change, we identify important additional monitoring that would help better reflect ecosystem status, improve the utility of CEMP, providing information necessary for the ecosystem approach at South Georgia. © 2021 International Council for the Exploration of the Sea.",2-s2.0-85117364854
"Dietrich K.S., Santora J.A., Reiss C.S.","Winter and summer biogeography of macrozooplankton community structure in the northern Antarctic Peninsula ecosystem",2021,"Progress in Oceanography","196",,"102610","","",,"10.1016/j.pocean.2021.102610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108450604&doi=10.1016%2fj.pocean.2021.102610&partnerID=40&md5=81e36c540cec2c975557d0c29758bb2e","Climate forcing is impacting polar marine ecosystems through increased variability of winter sea-ice dynamics, which likely influences the distribution, abundance and structure of zooplankton assemblages, and thereby trophodynamics of marine food webs. Due to the challenges of working in polar marine ecosystems, most knowledge on polar zooplankton community structure is derived from summer surveys. Here we examine the spatial distribution, abundance and community structure of macrozooplankton in relation to sea-ice and ocean-climate dynamics within the Antarctic Peninsula marine ecosystem over five consecutive winters. We compare the patterns revealed during winter with historical data collected in the same region during austral summer. Hydrographic and macrozooplankton data were collected from >100 standard stations off the northern Antarctic Peninsula during summer (2003–2011) and winter (2012–2016). Using multivariate methods, the environmental drivers and geographic structuring of the macrozooplankton community during winter and summer were investigated. Eight taxa made up 90% of total macrozooplankton abundance in winter including Metridia species, post-larval and larval Euphausia superba, post-larval Thysanoessa macrura, Limacina helicina, Chaetognatha, Ostracoda and Radiozoa. Eight slightly different taxa including Calanoides acutus, Salpa thompsoni, T. macrura (post-larvae and larvae), Metridia spp., E. superba larvae, Chaetognatha, and Rhincalanus spp. made up 87% of the total abundance in summer. Macrozooplankton clustered into five groups in winter and seven groups in summer. Winter macrozooplankton structure was more spatially consistent among years compared to summer regardless of sea-ice conditions. Salinity, chlorophyll a biomass, upper mixed layer depth and time of day were most strongly correlated with the multivariate ordination in winter whereas salinity, phaeopigment biomass and year had the highest correlations for summer, indicating the importance of similar physical features in both seasons. However, the importance of time scales differed among seasons. Although environmental determinants of summer and winter macrozooplankton community structure indicate that community structure and occurrence were strongly tied to regional variability of salinity and primary productivity gradients, macrozooplankton community structure is likely much more complex than only a few hydrographic variables can explain. Cluster boundaries are likely driven by dynamic locations of currents, fronts and localized eddies in any given season or year. © 2021 Elsevier Ltd",2-s2.0-85108450604
"Böckmann S., Koch F., Meyer B., Pausch F., Iversen M., Driscoll R., Laglera L.M., Hassler C., Trimborn S.","Salp fecal pellets release more bioavailable iron to Southern Ocean phytoplankton than krill fecal pellets",2021,"Current Biology","31","13",,"2737","2746.e3",,"10.1016/j.cub.2021.02.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109456715&doi=10.1016%2fj.cub.2021.02.033&partnerID=40&md5=7510993c6a8bf859608612cc1f9aa938","Over the last decades, it has been reported that the habitat of the Southern Ocean (SO) key species Antarctic krill (Euphausia superba) has contracted to high latitudes, putatively due to reduced winter sea ice coverage, while salps as Salpa thompsoni have extended their dispersal to the former krill habitats. To date, the potential implications of this population shift on the biogeochemical cycling of the limiting micronutrient iron (Fe) and its bioavailability to SO phytoplankton has never been tested. Based on uptake of fecal pellet (FP)-released Fe by SO phytoplankton, this study highlights how efficiently krill and salps recycle Fe. To test this, we collected FPs of natural populations of salps and krill, added them to the same SO phytoplankton community, and measured the community's Fe uptake rates. Our results reveal that both FP additions yielded similar dissolved iron concentrations in the seawater. Per FP carbon added to the seawater, 4.8 ± 1.5 times more Fe was taken up by the same phytoplankton community from salp FP than from krill FP, suggesting that salp FP increased the Fe bioavailability, possibly through the release of ligands. With respect to the ongoing shift from krill to salps, the potential for carbon fixation of the Fe-limited SO could be strengthened in the future, representing a negative feedback to climate change. © 2021 The Authors",2-s2.0-85109456715
"David C.L., Schaafsma F.L., van Franeker J.A., Pakhomov E.A., Hunt B.P.V., Lange B.A., Castellani G., Brandt A., Flores H.","Sea-ice habitat minimizes grazing impact and predation risk for larval Antarctic krill",2021,"Polar Biology","44","6",,"1175","1193",,"10.1007/s00300-021-02868-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105880522&doi=10.1007%2fs00300-021-02868-7&partnerID=40&md5=4e8c21f8a0b3210862e15bfa37b1774a","Survival of larval Antarctic krill (Euphausia superba) during winter is largely dependent upon the presence of sea ice as it provides an important source of food and shelter. We hypothesized that sea ice provides additional benefits because it hosts fewer competitors and provides reduced predation risk for krill larvae than the water column. To test our hypothesis, zooplankton were sampled in the Weddell-Scotia Confluence Zone at the ice-water interface (0–2 m) and in the water column (0–500 m) during August–October 2013. Grazing by mesozooplankton, expressed as a percentage of the phytoplankton standing stock, was higher in the water column (1.97 ± 1.84%) than at the ice-water interface (0.08 ± 0.09%), due to a high abundance of pelagic copepods. Predation risk by carnivorous macrozooplankton, expressed as a percentage of the mesozooplankton standing stock, was significantly lower at the ice-water interface (0.83 ± 0.57%; main predators amphipods, siphonophores and ctenophores) than in the water column (4.72 ± 5.85%; main predators chaetognaths and medusae). These results emphasize the important role of sea ice as a suitable winter habitat for larval krill with fewer competitors and lower predation risk. These benefits should be taken into account when considering the response of Antarctic krill to projected declines in sea ice. Whether reduced sea-ice algal production may be compensated for by increased water column production remains unclear, but the shelter provided by sea ice would be significantly reduced or disappear, thus increasing the predation risk on krill larvae. © 2021, The Author(s).",2-s2.0-85105880522
"Höring F., Biscontin A., Harms L., Sales G., Reiss C.S., De Pittà C., Meyer B.","Seasonal gene expression profiling of Antarctic krill in three different latitudinal regions",2021,"Marine Genomics","56",,"100806","","",,"10.1016/j.margen.2020.100806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089250022&doi=10.1016%2fj.margen.2020.100806&partnerID=40&md5=d4cae36ca528bfe518c242b663f3972a","The Antarctic krill, Euphausia superba, has evolved seasonal rhythms of physiology and behaviour to survive under the extreme photoperiodic conditions in the Southern Ocean. However, the molecular mechanisms generating these rhythms remain far from understood. The aim of this study was to investigate seasonal differences in gene expression in three different latitudinal regions (South Georgia, South Orkneys/Bransfield Strait, Lazarev Sea) and to identify genes with potential regulatory roles in the seasonal life cycle of Antarctic krill. The RNA-seq data were analysed (a) for seasonal differences between summer and winter krill sampled from each region, and (b) for regional differences within each season. A large majority of genes showed an up-regulation in summer krill in all regions with respect to winter krill. However, seasonal differences in gene expression were less pronounced in Antarctic krill from South Georgia, most likely due to the milder seasonal conditions of the lower latitudes of this region, with a less extreme light regime and food availability between summer and winter. Our results suggest that in the South Orkneys/Bransfield Strait and Lazarev Sea region, Antarctic krill entered a state of metabolic depression and regressed development (winter quiescence) in winter. Moreover, seasonal gene expression signatures seem to be driven by a photoperiodic timing system that may adapt the flexible behaviour and physiology of Antarctic krill to the highly seasonal environment according to the latitudinal region. However, at the lower latitude South Georgia region, food availability might represent the main environmental cue influencing seasonal physiology. © 2020 The Authors",2-s2.0-85089250022
"Kane M.K., Atkinson A., Menden-Deuer S.","Lowered cameras reveal hidden behaviors of Antarctic krill",2021,"Current Biology","31","5",,"R237","R238",,"10.1016/j.cub.2021.01.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101899214&doi=10.1016%2fj.cub.2021.01.091&partnerID=40&md5=4d8c0ea417f48f30de5cb3000e8f6325","Antarctic krill (Euphausia superba, hereafter ‘krill’) exemplify the methodological challenges of studying small, mobile, aggregating pelagic organisms.1 Krill are a central species in the Southern Ocean food web, provide important biogeochemical functions and support a valuable commercial fishery.2 Most of what we know about krill has been derived from acoustic surveys and net samples, the former being essential for estimating krill biomass and catch limits. However, understanding krill behavior, particularly in the poorly-studied autumn–winter seasons, is key for management and conservation. Here, we used seasonal video observations collected with a profiling camera system of krill along the Western Antarctic Peninsula to reveal krill vertical distribution, aggregation density and individual behaviors that have remained hidden from traditional sampling methods.3 Kane et al. used a lowered camera system to observe krill behaviors, including novel benthic feeding methods and links between individual behaviors and aggregation densities. © 2021 Elsevier Inc.",2-s2.0-85101899214
"Smith C.","A warming Southern Ocean may compromise Antarctic blue whale foetus growth",2021,"Journal of Vertebrate Biology","70","2","20114","","",,"10.25225/jvb.20114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115127042&doi=10.25225%2fjvb.20114&partnerID=40&md5=5c2a44d35f39f4d7e160c8f6bc0e80ed","After declining in abundance due to commercial whaling during the 20thcentury, populations of the Antarctic blue whale (Balaenoptera musculus intermedia) have failed to recover to pre-exploitation levels. Using historical whaling data from 1926-1954, in combination with temperature data for the Southern Ocean, a gamma GLM with temporal dependency was fitted to 20,144 records of B. m. intermedia foetus size using Bayesian inference. There was a negative relationship between antecedent winter sea surface temperature (SST) in the Southern Ocean on foetus size. This relationship is proposed as being mediated by a positive effect of the extent of winter sea ice on Antarctic krill (Euphasia superba) abundance on which B. m. intermedia feed. There was also a positive density-dependent effect of a ""krill surplus"" at low B. m. intermedia population sizes. However, the positive effect of a ""krill surplus"" at low B. m. intermedia population size on foetus growth was reversed at elevated winter SST due to a proposed negative impact on E. superba recruitment. Projected increases in temperature in the Southern Ocean are predicted to compromise the growth rates of B. m. intermedia foetuses, with implications for the capacity of the subspecies to recover from overexploitation. © 2021 BioOne. All right reserved.",2-s2.0-85115127042
"Bamford C.C.G., Warwick-Evans V., Staniland I.J., Jackson J.A., Trathan P.N.","Wintertime overlaps between female Antarctic fur seals (Arctocephalus gazella) and the krill fishery at South Georgia, South Atlantic",2021,"PLoS ONE","16","3 March","e0248071","","",,"10.1371/journal.pone.0248071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102549023&doi=10.1371%2fjournal.pone.0248071&partnerID=40&md5=8a6acd44350149853af3e295b5bf1ffb","The diet of Antarctic fur seals (Arctocephalus gazella) at South Georgia is dominated by Antarctic krill (Euphausia superba). During the breeding season, foraging trips by lactating female fur seals are constrained by their need to return to land to provision their pups. Post-breeding, seals disperse in order to feed and recover condition; estimates indicate c.70% of females remain near to South Georgia, whilst others head west towards the Patagonian Shelf or south to the ice-edge. The krill fishery at South Georgia operates only during the winter, providing the potential for fur seal: fishery interaction during these months. Here we use available winter (May to September) tracking data from Platform Terminal Transmitter (PTT) tags deployed on female fur seals at Bird Island, South Georgia. We develop habitat models describing their distribution during the winters of 1999 and 2003 with the aim of visualising and quantifying the degree of spatial overlap between female fur seals and krill harvesting in South Georgia waters. We show that spatial distribution of fur seals around South Georgia is extensive, and that the krill fishery overlaps with small, highly localised areas of available fur seal habitat. From these findings we discuss the implications for management, and future work. © 2021 Bamford et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2-s2.0-85102549023
"Uchida M., Suzuki I., Ito K., Ishizuka M., Ikenaka Y., Nakayama S.M.M., Tamura T., Konishi K., Bando T., Mitani Y.","Estimation of the feeding record of pregnant Antarctic minke whales (Balaenoptera bonaerensis) using carbon and nitrogen stable isotope analysis of baleen plates",2021,"Polar Biology","44","3",,"621","629",,"10.1007/s00300-021-02816-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101228578&doi=10.1007%2fs00300-021-02816-5&partnerID=40&md5=e009925a4a6f70fad88e70ce02ccd72a","Antarctic minke whales (Balaenoptera bonaerensis) are migratory capital breeders that experience intensive summer feeding on Antarctic krill (Euphausia superba) in the Southern Ocean and winter breeding at lower latitudes, but their prey outside of the Antarctic is unknown. Stable isotope analyses were conducted on δ13C and δ15N from the baleen plates of ten pregnant Antarctic minke whales to understand the growth rate of the baleen plate and their diet in lower latitudes. Two to three oscillations along the length of the edge of the baleen plate were observed in δ15N, and the annual growth rate was estimated to be 75.2 ± 20.4 mm, with a small amplitude (0.97 ± 0.21 ‰). Bayesian stable isotope mixing models were used to understand the dominant prey that contributed to the isotopic component of the baleen plate using Antarctic krill from the stomach contents and reported values of Antarctic coastal krill (Euphausia crystallorophias), Antarctic silver fish (Pleuragramma antarcticum), Australian krill spp., and Australian pelagic fish spp. The models showed that the diet composition of the most recent three records from the base of the baleen plates (model 1) and the highest δ15N values in each baleen plate (model 2) were predominantly Antarctic krill, with a contribution rate of approximately 80%. The rates were approximately 10% for Antarctic coastal krill and less than 2.0% for the two Australian prey groups in both models. These results suggest that pregnant Antarctic minke whales did not feed on enough prey outside of the Antarctic to change the stable isotope values in their baleen plates. © 2021, The Author(s).",2-s2.0-85101228578
