state of progress ,To be reviewed by (insert name):ro,topic,authors,title,journal,abstract,publishingDate,publishingYear,doi,Comment
closed,Liszka,autumn,"fielding, s; watkins, jl; collins, ma; enderlein, p; venables, hj","acoustic determination of the distribution of fish and krill across the scotia sea in spring 2006, summer 2008 and autumn 2009",deep-sea research part ii-topical studies in oceanography,"multifrequency acoustic backscatter data were examined from transects at eight stations across the scotia sea, from the south orkneys to the north west of south georgia. these transects were repeated in austral spring (november 2006), summer (december 2007/january 2008) and autumn (march 2009). a db identification window (sv120-38) identified two types of scatterers dominating the acoustic backscatter; a positive sv120-38 indicative of antarctic krill (euphausia superba) and a negative sv120-38 indicative of mesopelagic fish with swim bladders, such as myctophids. acoustic backscatter attributed to schooling myctophid fish was greater at stations in the north of the scotia sea across all seasons and found to increase significantly with increasing mean sea temperature and absolute dynamic height. a schools analysis identified more fish schools at the stations with high fish acoustic backscatter. the number of fish schools increased, were distributed further south, and occurred deeper from spring through to autumn. krill density, calculated using a target strength model, was similar in spring (27.7 g m(-2)) and summer (27.2 g m(-2)), but lower (2.2 g m(-2)) in autumn 2009. an analysis of swarm characteristics showed that during the spring cruise the high mean krill density resulted from a small number of swarms containing a large number of small krill, particularly in the south of the survey region. in contrast in the summer cruise the high mean krill density resulted from a large number of swarms containing a low number of large krill. finally, in autumn the low krill density resulted from a small number of swarms containing a small number of large krill. krill swarms were located at a mean depth of 58 m in spring, 94 m in summer and 123 m in autumn and were generally further apart, deeper, contained fewer krill and smaller in the north of the survey region. large-scale shifts in the latitudinal and vertical distribution of krill and schooling mesopelagic fish in the scotia sea were observed. this seasonal reorganisation in both horizontal and vertical distribution will alter the role of these prey items in the ecosystem. (c) 2011 elsevier ltd. all rights reserved.",jan,2012,10.1016/j.dsr2.2011.08.002,
closed,Halfter,autumn,"hellessey, n; johnson, r; ericson, ja; nichols, pd; kawaguchi, s; nicol, s; hoem, n; virtue, p",antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,scientific reports,"antarctic krill (euphausia superba) are a key component of the antarctic food web with considerable lipid reserves that are vital for their health and higher predator survival. krill lipids are primarily derived from their diet of plankton, in particular diatoms and flagellates. few attempts have been made to link the spatial and temporal variations in krill lipids to those in their food supply. remotely-sensed environmental parameters provide large-scale information on the potential availability of krill food, although relating this to physiological and biochemical differences has only been performed on small scales and with limited samples. our study utilised remotely-sensed data (chlorophyll a and sea surface temperature) coupled with krill lipid data obtained from 3 years of fishery-derived samples. we examined within and between year variation of trends in both the environment and krill biochemistry data. chlorophyll a levels were positively related to krill lipid levels, particularly triacylglycerol. plankton fatty acid biomarkers analysed in krill (such as n-3 polyunsaturated fatty acids) increased with decreasing sea surface temperature and increasing chlorophyll a levels. our study demonstrates the utility of combining remote-sensing and biochemical data in examining biological and physiological relationships between antarctic krill and the southern ocean environment.",Apr 8,2020,10.1038/s41598-020-62800-7,
closed,Bahl,autumn,"virtue, p; nicol, s; nichols, pd","changes in the digestive gland of euphausia-superba during short-term starvation - lipid class, fatty-acid and sterol content and composition",marine biology,"during a period of short-term (19 d) starvation, total lipid in the digestive gland of euphausia superba dana decreased from 21 to 9% dry weight. total lipid per digestive gland decreased significantly during starvation compared to day 0 individuals, falling from 1960 (+/-172) to 385 (+/-81) mu g. polar lipid was the major lipid class utilised during starvation, falling from 1510 (+/-225) to 177 (+/-46) mu g per digestive gland (76 to 45%). absolute levels of triacylglycerol fell from 300 (+/-41) to 76 (+/-5) mu g; however, relative levels remained unchanged. the relative level of free fatty acid increased significantly with starvation (4 to 39%) with absolute levels ranging from 79 (+/-1) to 156 (+/-20) mu g per digestive gland. absolute levels of all fatty acids per digestive gland declined continually until the end of the starvation period. the long-chain polyunsaturated acids eicosapentaenoic (20:5 omega 3) and docosahexaenoic (22:6 omega 3), decreased with starvation from 37 to 26% and 15 to 10%, respectively whereas the saturated fatty acid, palmitic acid (16:0), increased from 15 to 22%. cholesterol, the major sterol in this organ, increased from 17 (+/-20) to 44 (+/-13) mu g per digestive gland by day 3, and by day 19 had returned to levels found in the digestive gland of day 0 individuals. desmosterol followed a similar pattern to cholesterol, increasing from 3 (+/-1) mu g per digestive gland on day 0 to 11 (+/-4) mu g on day 3, and falling to 2 (+/-1) mu g on day 19. other sterols in the digestive gland, predominantly of algal origin, fell from the levels found in day 0 individuals to near zero amounts by day 6. the digestive gland of e. superba plays a dynamic role during shortterm starvation in terms of lipid content and composition. the relative levels of polar lipids, free fatty acids and cholesterol in the digestive gland may provide reliable indices of the nutritional condition of e. superba in the field. sterols in the digestive gland are indicative of recent dietary composition of krill, and may also be used to quantify dietary input from individual phytoplanktonic species.",nov,1993,,
closed,Liszka,autumn,"farber-lorda, j; gaudy, r; mayzaud, p","elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",journal of marine systems,"samples of antarctic krill were analyzed for elemental composition, biochemical composition, weight and caloric content. sexes and maturity stages were separated. mature females showed the highest caloric values (joules) and juveniles the lowest in a per animal basis. on unit of wet weight per animal basis, spent females showed the lowest caloric values. for the caloric values by animal, a significant difference was found between males, mature females, spent females and juveniles, either on a per animal basis or in the basis of 1 g of wet weight, showing a real difference between the groups, regardless of their individual size. significant differences were found for carbon, nitrogen and lipids, but not for proteins, analyzed in % of dry weight. carbon was lowest for spent females and highest for mature females. on the contrary, nitrogen values were lowest for mature females and highest for males. mature females had the highest lipid content and males the lowest. all variables were significantly correlated. for the linear regression analysis, the best correlation found was between joules and carbon, followed by carbon vs. dry weight and joules vs. dry weight. in an analysis with two independent variables, the best correlation was found for joules vs. lipids and dry weight, followed by joules vs. carbon and nitrogen, and joules vs. lipids and proteins. the results obtained were used to make an analysis of the energy and carbon fluxes through the food chain in the sampled area, showing higher energetic and carbon ""densities"" in frontal areas, the pom calorific values showed an opposite pattern than that of krill. (c) 2009 elsevier b.v. all rights reserved.",nov,2009,10.1016/j.jmarsys.2008.12.021,
closed,Bahl,autumn,"phleger, cf; nelson, mm; mooney, bd; nichols, pd","interannual and between species comparison of the lipids, fatty acids and sterols of antarctic krill from the us amlr elephant island survey area",comparative biochemistry and physiology b-biochemistry & molecular biology,"antarctic euphausiids, euphausia superba, e. tricantha, e. frigida and thysanoessa macrura were collected near elephant i island 1 during 1997 and 1998. total lipid was highest in e. superba small juveniles (16 mg g(-1) wet mass), ranging from 12 to 15 mg in other euphausiids. polar lipid (56-81% of total lipid) and triacylglycerol (12-38%) were the major lipids with wax esters (6%) only present in e. tricantha. cholesterol was the major sterol (80-100% of total sterols) with desmosterol second in abundance (1-18%). 1997 t macrura and e. superba contained a more diverse sterol profile, including 24-nordehydrocholesterol (0.1-1.7%), trans-dehydrocholesterol (1.1-1.5%), brassicasterol (0.5-1.7%). 24-methylenecholesterol (0.1-0.4%) and two stanols (0.1-0.2%). monounsaturated fatty acids included primarily 18:1(n-9)c (7-21%), 18:1(n-7)c (3-13%) and 16:1(n-7)c (2-7%). the main saturated fatty acids in krill were 16:0 (18-29%), 14:0 (2-15%) and 18:0 (1-13%). highest eicosapentaenoic acid [epa, 20:5 (n-3)] and docosahexaenoic acid [dha, 22:6(n-3)] occurred in e. superba (epa, 15-21%; dha, 9-14%), and were less abundant in other krill. e. superba is a good source of epa and dha for consideration of direct or indirect use as a food item for human consumption. lower levels of 18:4(n-3) in e. tricantha, e. frigida and t macrura (0.4-0.7% of total fatty acids) are more consistent with a carnivorous or omnivorous diet as compared with herbivorous e. superba (3.7-9.4%). the polyunsaturated fatty acid (pufa) 18:5(n-3) and the very-long chain (vlc-pufa), c-26 and c-28 pufa, were not present in 1997 samples, but were detected at low levels in most 1998 euphausiids. interannual differences in these biomarkers suggest greater importance of dinoflagellates or some other phytoplankton group in the elephant island area during 1998. the data have enabled between year comparisons of trophodynamic interactions of krill collected in the elephant island region, and will be of use to groups using signature lipid methodology. (c) 2002 elsevier science inc. all rights reserved.",apr,2002,10.1016/s1096-4959(02)00021-0,
closed,O'Sullivan,autumn,"horing, f; teschke, m; suberg, l; kawaguchi, s; meyer, b","light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity",canadian journal of zoology,"light regime is an important zeitgeber for antarctic krill (euphausia superba dana, 1850), which seems to entrain an endogenous timing system that synchronizes its life cycle to the extreme light conditions in the southern ocean. to understand the flexibility of antarctic krill's seasonal cycle, we investigated its physiological and behavioural responses to different light regimes and if an endogenous timing system was involved in the regulation of these seasonal processes. we analysed growth, feeding, lipid content, and maturity in a 2-year laboratory experiment simulating the latitudinal light regimes at 52 degrees s and 66 degrees s and constant darkness under constant food level. our results showed that light regime affected seasonal cycles of growth, feeding, lipid metabolism, and maturity in antarctic krill. seasonal patterns of growth, feeding, and maturity persisted under constant darkness, indicating the presence of an endogenous timing system. the maturity cycle showed differences in critical photoperiods according to the simulated latitudinal light regime. this suggests a flexible endogenous timing mechanism in antarctic krill, which may determine its response to future environmental changes.",nov,2018,10.1139/cjz-2017-0353,
closed,Bahlburg,autumn,"kawaguchi, s; candy, sg; king, r; naganobu, m; nicol, s","modelling growth of antarctic krill. i. growth trends with sex, length, season, and region",marine ecology progress series,"growth trends of antarctic krill with sex, length, season, and region as independent variables were modelled with a linear mixed model (lmm) using 10 yr of accumulated instantaneous growth rate (igr) measurements. a model of inter-moult period (imp) as a function of temperature, required to convert igr to daily growth rate, was fitted to data from published constant-tempera lure rearing studies; this model was used to predict seasonal imp using a model of the average sea surface temperature seasonal trend for each region. smaller krill exhibited higher growth rates and, in general, we observed a progressive decrease in igr and daily growth with increasing size (from over 0.2 mm d(-1) down to 0.05 mm d(-1) for 20 and 50 rum krill, respectively, in december in the indian ocean sector of the southern ocean). igr decreased from summer to autumn, with small to negative values predominating across all length classes by autumn. december was a period of rapid growth in the indian ocean sector of the southern ocean, whereas a similar peak in growth rates appeared to occur a few months earlier in the southwest atlantic sector. significantly lower growth rates were exhibited by females in january and february (e.g. 0.063 and 0.050 mm d(-1) for 40 mm females) compared to males (0.119 and 0.090 mm d(-1) for 40 mm males) in the indian ocean sector. since these estimates were based on growth measurements of individual animals, they may reflect the occurrence of sex-differentiated growth patterns in the natural environment. growth rate differences between sexes suggested that growth rate estimates based on composite length frequency distributions without sex differentiation may be problematic.",,2006,10.3354/meps306001,
closed,Liszka,autumn,"brierley, as; goss, c; grant, sa; watkins, jl; reid, k; belchier, m; everson, i; jessop, mj; afanasyev, v; robst, j",significant intra-annual variability in krill distribution and abundance at south georgia revealed by multiple acoustic surveys during 2000/01,ccamlr science,"three separate acoustic surveys of antarctic krill (euphausia superba) were conducted around south georgia in the 2000/01 season: in october 2000 (early-season); during late december/early january 2000/01 (mid-season), and in march 2001 (late-season). the surveys were the first in a newly planned five-year series of observations designed to complement and extend an existing time series regularly maintained by the british antarctic survey since 1996 (and on a more ad hoc basis since the early 1980s). we hoped that conducting several surveys in one season would provide information on short-term variability that could be used to set data from more restricted once-per-season 'snap-shot' cruises in a broader context. the early- and late-season surveys were associated with logistic support voyages to south georgia and were restricted to four transects within a box to the northwest of south georgia. the dedicated mid-season survey covered that box in more detail (twice as many transects) and, in addition, examined boxes to the north, northeast and southwest of the island. together these surveys provided temporally and spatially extensive coverage around south georgia. krill density in the western box in the early-season survey was very low (3.5 g m(-2)) but rose significantly (p = 0.020) by mid-season (to 34.7 g m(-2)). in a pattern that is consistent with observations from previous years, krill density in the western box in the mid-season survey was less than that in the eastern box (80.4 g m(-2)). analysis of transect data obtained in the western box in the mid-season survey revealed no significant difference in the mean krill density derived from only those four transects surveyed early- and late-season, or from the full eight transects. our first occupation of a survey box off the central north coast of south georgia in mid-season revealed a krill density of 47.2 g m(-2) that was intermediate between the eastern and western areas. the size structure of the krill in the central region also reflected a mix of those to the east (generally small) and west (generally large). krill density to the southwest of south georgia was 32.1 g m(-2) in mid-season. by march, krill density in the western survey area had fallen significantly (p = 0.037) from the mid-season high to 7.8 g m(-2). our multiple surveys at south georgia have revealed major intra-annual changes in krill density at the island and have shown that the timing of the acoustic survey can affect significantly the estimate of krill density. the multiple estimates of krill density will allow reproductive performance indices for top level predators to be compared to prey availability at more appropriate time-scales than previous single 'snap-shot' acoustic survey data have allowed. this is a crucial step in the elucidation of response functions of dependent species to changes in krill abundance, and could be a useful contribution to ecosystem management.",,2002,,
closed,Thorpe,development,"daly k.l., macaulay m.c.","abundance and distribution of krill in the ice edge zone of the weddell sea, austral spring 1983","deep sea research part a, oceanographic research papers","the effect of the ice edge zone on the abundance and distribution of antarctic krill was investigated by acoustic and net sampling methods in the northwestern weddell sea during austral spring, 1983. the dominant acoustic target was euphausia superba which occurred over the entire study area in the upper 100 m of the water column, either in aggregations or loosely defined layers. the vertical depth distribution under the pack ice was similar to that of open water. average krill biomass under the ice ranged from 1 to 68 g m-2 and in open water range from 10 to 100 g m-2. another euphausiid, thysanoessa macrura, appeared to be ubiquitous but was much less abundant than e. superba. t. macrura also formed aggregations. all stages were found in open water, but only adults and juveniles under the ice. a few adults and larvae of a third euphausiid, e. frigida, were found only in open water. salps, which were abundant in open water, were not present under the pack ice. the pack ice directly influenced the abundance and distribution of young krill. juvenile e. superba were much more abundant under the ice than in open water north of the ice edge. numerous observations were made of juvenile krill feeding on the undersurface of ice floes where chlorophyll concentrations were much greater than in the water column below. these observations appear to indicate that the pack ice serves as a giant nursery area for young krill, providing a refugium from predators as well as a vast food resource that may be critical to the survival of overwintering juvenile e. superba. © 1988.",,1988,10.1016/0198-0149(88)90055-6,
closed,Thorpe,development,"frazer, tk; quetin, lb; ross, rm","abundance, sizes and developmental stages of larval krill, euphausia superba, during winter in ice-covered seas west of the antarctic peninsula",journal of plankton research,"larval krill were sampled west of the antarctic peninsula during three winter cruises: september 1991, june 1993 and september 1993. larval abundances were estimated from net catches and compared directly to visual counts (made by a scuba diver) of larvae occupying the ice habitat at the same sampling stations. the number of larvae per square meter sampled with nets was more often greater than that observed by the diver, irrespective of the sampling period. however, comparisons of larval abundance within sampling periods were not statistically significant. larval krill collected by divers were significantly larger than those collected with nets for each of the three cruises. the stage composition of larval krill also depended on the collection method: net-collected samples contained a disproportionately high number of early furcilia larvae in june 1993 (early winter), and a disproportionately low number of early juveniles during september 1991 and 1993 (late winter). these results lead us to suggest that larval/juvenile krill occupy both the water column and sea ice habitat during the austral winter, and that there are often differences in the sizes and developmental stages of the two groups. for larval krill that occupied the sea ice habitat, aggregations were larger and more numerous during late winter than in early winter. in addition, larvae within aggregations occupied structurally complex microhabitats, provided by over-rafted ice floes, more often than they occupied smooth, downward-facing ice surfaces where ice was not over-rafted.",oct,2002,10.1093/plankt/24.10.1067,
