"author et al. (YEAR)_CHARACTER","paper title_CHARACTER","study duration_CHOICE","region_CHARACTER"
"Hellesey et al. 2020","Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures","years","South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)"
"Phleger et al. 2002","Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area","months","Elephant Island"
"Virtue et al. 1993","changes in the digestive gland of euphausia-superba during short-term starvation - lipid class, fatty-acid and sterol content and composition","days","Prydz Bay Region"
"Horing et al. 2014","light regime affects the seasonal cycle of antarctic krill (euphausia superba): impacts on growth, feeding, lipid metabolism, and maturity","years",NA
"Hagen et al. 2001","lipid metabolism of the antarctic krill euphausia superba and its ecological implications","months","Antarctic Peninsula"
"Hagen et al. 2001","lipid metabolism of the antarctic krill euphausia superba and its ecological implications","months","Lazarev Sea"
"Hagen et al. 2001","lipid metabolism of the antarctic krill euphausia superba and its ecological implications","months","Wedell Sea"
"Hagen et al. 2001","lipid metabolism of the antarctic krill euphausia superba and its ecological implications","years","southeastern Weddell Sea & northern Lazarev Sea"
"Fieldling et al. 2014","Interannual variability in Antarctic krill (Euphausia superba) density at South Georgia, Southern Ocean: 1997 - 2013","years","South Georgia, Scotia Sea"
"Fieldling et al. 2014","Interannual variability in Antarctic krill (Euphausia superba) density at South Georgia, Southern Ocean: 1997 - 2013","months","South Georgia, Scotia Sea"
"Farber Lorda et al. 2009","elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances","months","southern part of Indian Ocean"
"kawaguchi, s; candy, sg; king, r; naganobu, m; nicol, s","modelling growth of antarctic krill. i. growth trends with sex, length, season, and region","months","IndianSector"
"Marschoff, E R; Calcagno, JA; Amieiro, P (1998)","Diel variation in catches of euphausia superba dana 1854 early larvae: vertical migration or avoidance reaction?","days","Weddell-Scotia Confluence"
"Marschoff E.R. (1985)","Profile analysis of euphausia superba larvae vertical distribution in the scotia sea, related to time factor","months","Scotia Sea (Fibex 1981)"
"Rombola, et al (2021)","Density and distribution of euphausiid larvae in the scotia sea in the 2011 summer","days","Weddel-Scotia Confluence"
"Melnikov, I. A., & Spiridonov, V. A.","Antarctic krill under perennial ice in the western Weddell Sea","months","western Weddell Sea"
"Ikeda (1984)","development of the larvae of the antarctic krill (euphausia superba dana) observed in the laboratory","months",NA
"Wiebe et al. (2011)","horizontal and vertical distribution of euphausiid species on the western antarctic peninsula u.s. globec southern ocean study site","months","Marguerite Bay, Western Antarctic Peninsula"
"Flores et al. (2012)","the association of antarctic krill euphausia superba with the under-ice habitat","months","Lazarev Sea"
"Rombolá et al  (2019)","variability of euphausiid larvae densities during the 2011, 2012, and 2014 summer seasons in the atlantic sector of the antarctic","years","WAP, Weddel-Scotia Confluence"
"Rombolá et al  (2019)","variability of euphausiid larvae densities during the 2011, 2012, and 2014 summer seasons in the atlantic sector of the antarctic","years","Weddell Sea"
"Quetin and Ross (2003)","Episodic recruitment in Antarctic krill Euphausia superba in the Palmer LTER study region","years","Western Antarctic Peninsula"
"Quetin et al. (2003)","Growth of larval krill, Euphausia superba, in fall and winter west of the Antarctic Peninsula","months","Western Antarctic Peninsula"
"Ross et al. (2004)","Growth and behavior of larval krill (Euphausia superba) under the ice in late wiinter 2001 west of the Antarctic Peninsula","months","Western Antarctic Peninsula; Adelaide Island"
"Guzman (1983)","Distribution and abundance of Antarctic krill (Euphausia superba) in the Bransfield Strait","months","Bransfield Strait and NW Weddell Sea"
"Guzman (1983)","Distribution and abundance of Antarctic krill (Euphausia superba) in the Bransfield Strait","months","Bransfield Strait"
"Guzman (1983)","Distribution and abundance of Antarctic krill (Euphausia superba) in the Bransfield Strait","months","Bransfield Strait; tip of Antarctic Peninsula"
"Schmidt et al. (2014)","Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance","years","Lazarev Sea"
"Schmidt et al. (2014)","Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance","years","Bransfield Strait"
"Schmidt et al. (2014)","Feeding and overwintering of antarctic krill across its major habitats: the role of sea ice cover, water depth, and phytoplankton abundance","years","South Georgia Sea"
