author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,dry mass,measurement,mg,2,larvae,2.3,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,lipid mass,measurement,mg,2,larvae,0.17,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1986,Lazarev Sea,% lipid of DM,measurement,%,2,larvae,7.3,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Weddell Sea,lipid mass,measurement,mg,1,larvae,0.035,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Weddell Sea,% lipid of DM,measurement,%,1,larvae,15,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Weddell Sea,lipid mass,measurement,mg,12,larvae,0.17,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,autumn,1992,Weddell Sea,% lipid of DM,measurement,%,12,larvae,18.4,"parameter, validation","egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 14:00,measurement,mass %,7,larvae,5,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:00,measurement,mass %,7,larvae,16.7,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 16:1 (n-7),measurement,mass %,7,larvae,6.2,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:0,measurement,mass %,7,larvae,1.2,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-9),measurement,mass %,7,larvae,109,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:1 (n-7),measurement,mass %,7,larvae,6.8,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:2 (n-6),measurement,mass %,7,larvae,2.5,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:3 (n-3),measurement,mass %,7,larvae,0.9,validation,"egg and larval
 development",state_var,tissues
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,years,NA,1985-1992,southeastern Weddell Sea & northern Lazarev Sea,fatty acid 18:4 (n-3),measurement,mass %,7,larvae,2.8,validation,"egg and larval
 development",state_var,tissues
