author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",SST:total lipid content,one-way ANOVA,NA,391,adult,0.001,TRUE,0.144,NA,overwintering,,"ID3, ID99",correlation,"ID3, ID99, ID10",correlation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",chla:total lipid content,one-way ANOVA,NA,391,adult,0.948,FALSE,−0.004,NA,overwintering,,,,"ID11, ID3, ID99",correlation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)", mean standard length,measurement,mm,391,adult,46,NA,NA,4.8,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",average dry weight,measurement,g,391,adult,0.16,NA,NA,0.05,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,48.19,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,47.23,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,42.04,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2014,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,45.66,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,46.49,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,45.63,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,winter,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,48.42,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2015,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,48.95,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,46.77,NA,NA,NA,overwintering,,,,-,validation,
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,autumn,2016,"South Orkney Islands (SOI), South Georgia (SG), West Antarctic Peninsula (WAP)",mean standard length,measurement,mm,391,adult,48.51,NA,NA,NA,overwintering,,,,-,validation,
