author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):C regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,-142,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):C regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,46.7,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):lipid regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,1850,parameter,spawning,state_var,tissue_reserves_lipids
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):lipid regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,79.2,parameter,spawning,state_var,tissue_reserves_lipids
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):protein regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,620.3,parameter,spawning,state_var,tissue_reserves_proteins
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J (corrected for N):protein regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,33.2,parameter,spawning,state_var,tissue_reserves_proteins
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:C regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,-32.7,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:C regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,49.8,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:lipid regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,2142.4,parameter,spawning,state_var,tissue_reserves_lipids
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:lipid regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,82.7,parameter,spawning,state_var,tissue_reserves_lipids
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:protein regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,699.8,parameter,spawning,state_var,tissue_reserves_proteins
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,J:protein regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,36.2,parameter,spawning,state_var,tissue_reserves_proteins
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,C:DW regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,-2.65,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,C:DW regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,0.516,parameter,spawning,state_var,tissue_reserves_carbs
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,protein:DW regression - intercept,linear regression (Y = a + bX),regression intercept,NA,NA,-6.07,parameter,spawning,state_var,tissue_reserves_proteins
Farber Lorda et al. 2009,"elemental composition, biochemical composition and caloric value of antarctic krill. implications in energetics and carbon balances",observation,months,autumn,1981,southern part of Indian Ocean,protein:DW regression - slope,linear regression (Y = a + bX),regression slope,NA,NA,0.613,parameter,spawning,state_var,tissue_reserves_proteins
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of assimilates on food (carbon based),literature,mg C mg^-1 C,NA,adult,0.8,parameter,spawning,function,assimilation
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of structure on assimilates,literature,mg mg-1,NA,adult,0.8,parameter,spawning,function,assimilation
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of assimilates on structure (starvation),literature,mg mg-1,NA,adult,0.8,parameter,spawning,function,assimilation
Jager & Ravagnan (2015),Parameterising a generic model for the dynamic energy budget of antarctic krill euphausia superba,model,days,NA,NA,NA,yield of storage buffer on assimilates,literature,mg mg-1,NA,adult,0.95,parameter,spawning,function,assimilation
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,summer,2000,Lazarev Sea,Respiration carbon loss,Net sampling,% body C d-3,7,adult,1.5,parameter,spawning,function,maintenance _respiration
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,autumn,1999,Lazarev Sea,Respiration carbon loss,Net sampling,% body C d-5,5,adult,0.5,parameter,spawning,function,maintenance _respiration
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,summer,2000,Lazarev Sea,Respiration rate,Net sampling,uL O2 mg-1 DM h-1,7,adult,0.58,parameter,spawning,function,maintenance _respiration
Meyer et al. (2002),"seasonal differences in citrate synthase and digestive enzyme activity in larval and postlarval antarctic krill, euphausia superba",observation,months,autumn,1999,Lazarev Sea,Respiration rate,Net sampling,uL O2 mg-1 DM h-1,5,adult,0.2,parameter,spawning,function,maintenance _respiration
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Half-saturation constant for growth rate and ingestion rage,observation,mg C/m3,NA,NA,25,parameter,spawning,function,ingestion
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Maximal ingestion rate,observation,(% body C/d-1),NA,NA,10,parameter,spawning,function,ingestion
Ryabov et al. (2017),competition-induced starvation drives large-scale population cycles in antarctic krill,hybrid,years,summer,1993-2013,Western Antarctic Peninsula,Assimilation efficiency of consumed carbon into dry weight,observation,"mg DW /mg consumed C
Assimilation",NA,NA,1.04,parameter,spawning,function,assimilation
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_carbs
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_proteins
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,maximumBodyLength,mechanistic model,mm,NA,adults,70,parameter,spawning,state_var,tissue_reserves_lipids
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,minimumBodyLengthAdults,mechanistic model,mm,NA,adults,30,parameter,spawning,state_var,gonads_development
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,spawningThreshold,mechanistic model,NA,NA,adults,0.1,parameter,spawning,state_var,gonads_development
"Groeneveld, J. et al. (2015)",how biological clocks and changing environmental conditions determine local population growth and species distribution in antarctic krill (euphausia superba): a conceptual model,model,years,NA,NA,NA,spawningThreshold,mechanistic model,NA,NA,adults,0.1,parameter,spawning,function,spawning
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_carbs
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_proteins
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill males,4.3,parameter,spawning,state_var,tissue_reserves_lipids
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill females,2.2,parameter,spawning,state_var,tissue_reserves_carbs
"nicol s., kitchener j., king r., hosie g., de la mare w.k. (2000)",population structure and condition of antarctic krill (euphausia superba) off east antarctica (80-150 °e) during the austral summer of 1995/1996,observation,months,"summer, autumn",1995-1996,Indian Sector of the SO,instantaneous growth rate,measurement,% body length per moult,22,krill females,2.2,parameter,spawning,state_var,tissue_reserves_proteins
