author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name,enviro_vars
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",SST:total lipid content,one-way ANOVA,NA,391,adult,0.001,correlation,spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",SST:total lipid content,one-way ANOVA,NA,391,adult,0.001,correlation,spawning,function,assimilation,temperature
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",chla:total lipid content,one-way ANOVA,NA,391,adult,0.948,correlation,spawning,function,assimilation,chlorophyll
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,"spring, summer, autumn, winter",2014-2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",chla:total lipid content,one-way ANOVA,NA,391,adult,0.948,correlation,spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2014,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,148.9 ,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2014,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,59.8 ,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2015,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,168.1,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2015,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,138.9 ,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,summer,2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,271.8 ,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
Hellesey et al. 2020,Antarctic krill lipid and fatty acid content variability is associated to satellite derived chlorophyll a and sea surface temperatures,hybrid,years,spring,2016,"South Orkney Islands (SOI), South Georgia (SG), Western Antarctic Peninsula (WAP)",total lipid content,measurement,mg g-1 dw,190,adult,90.7 ,"parameter, validation",spawning,state_var,tissue_reserves_lipids,NA
