author,title,study_type,study_duration,season,study_years,location,parameter_name,parameter_origin,parameter_unit,sample_size,parameter_lifestage,parameter_value,informationCategory,submechanism,type,name
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,2,juvenile,10.5,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,total mean fatty acid composition,Pearson’s correlation coefficient and non-metric multidimensional scaling (MDS),mg g wet mass,2,juvenile,12.7,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Phleger et al. 2002,"Interannual and between species comparison of the lipids, fatty acids and sterols of Antarctic krill from the US AMLR Elephant Island survey area",hybrid,months,"autumn, summer",1997-1998,Elephant Island,mean lipid class composition/individual,measurement and multidimensional scaling,mg g wet mass,2,juvenile,8,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,10,juvenile,2,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,10,juvenile,10,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,lipid mass,measurement,mg,14,juvenile,4.5,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,spring,1983,Antarctic Peninsula,% lipid of DM,measurement,%,14,juvenile,8.6,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,lipid mass,measurement,mg,4,juvenile,3.8,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Hagen et al. 2001,lipid metabolism of the antarctic krill euphausia superba and its ecological implications,observation,months,winter,1986,Lazarev Sea,% lipid of DM,measurement,%,4,juvenile,16.2,"parameter, validation",overwintering,state_var,tissue_reserves_lipids
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,algae mass specific clearance rates for size spectra,Bongo net,NA,NA,juvenile,NA,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,protozoans mass specific clearance rates for size spectra,Bongo net,NA,NA,juvenile,NA,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,nauplii mass specific clearance rates for size spectra,Bongo net,NA,NA,juvenile,NA,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,cyclopoid mass specific clearance rates for size spectra,Bongo net,NA,NA,juvenile,NA,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,calanoid copepods mass specific clearance rates for size spectra,Bongo net,NA,NA,juvenile,NA,"parameter, validation",overwintering,function,ingestion
Atkinson et al. (2002),feeding and energy budgets of antarctic krill euphausia superba at the onset of winter - ii. juveniles and adults,observation,days,"autumn, winter",1999,Lazarev Sea,median clearance rates algae,Bongo net,ml (mgDM)-1 h-1,NA,juvenile,1,"parameter, validation",overwintering,function,ingestion
