Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,EID
"Rowlands E., Galloway T., Cole M., Lewis C., Peck V., Thorpe S., Manno C.","The Effects of Combined Ocean Acidification and Nanoplastic Exposures on the Embryonic Development of Antarctic Krill",2021,"Frontiers in Marine Science","8",,"709763","","",,"10.3389/fmars.2021.709763","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113143344&doi=10.3389%2ffmars.2021.709763&partnerID=40&md5=02f9a10cdabe25d57c0e1373b1ea894d","In aquatic environments, plastic pollution occurs concomitantly with anthropogenic climate stressors such as ocean acidification. Within the Southern Ocean, Antarctic krill (Euphausia Superba) support many marine predators and play a key role in the biogeochemical cycle. Ocean acidification and plastic pollution have been acknowledged to hinder Antarctic krill development and physiology in singularity, however potential multi-stressor effects of plastic particulates coupled with ocean acidification are unexplored. Furthermore, Antarctic krill may be especially vulnerable to plastic pollution due to their close association with sea-ice, a known plastic sink. Here, we investigate the behaviour of nanoplastic [spherical, aminated (NH2), and yellow-green fluorescent polystyrene nanoparticles] in Antarctic seawater and explore the single and combined effects of nanoplastic (160 nm radius, at a concentration of 2.5 μg ml–1) and ocean acidification (pCO2 ∼900, pHT 7.7) on the embryonic development of Antarctic krill. Gravid female krill were collected in the Atlantic sector of the Southern Ocean (North Scotia Sea). Produced eggs were incubated at 0.5 °C in four treatments (control, nanoplastic, ocean acidification and the multi-stressor scenario of nanoplastic presence, and ocean acidification) and their embryonic development after 6 days, at the incubation endpoint, was determined. We observed that negatively charged nanoplastic particles suspended in seawater from the Scotia Sea aggregated to sizes exceeding the nanoscale after 24 h (1054.13 ± 53.49 nm). Further, we found that the proportion of embryos developing through the early stages to reach at least the limb bud stage was highest in the control treatment (21.84%) and lowest in the multi-stressor treatment (13.17%). Since the biological thresholds to any stressors can be altered by the presence of additional stressors, we propose that future nanoplastic ecotoxicology studies should consider the changing global ocean under future climate scenarios for assessments of their impact and highlight that determining the behaviour of nanoplastic particles used in incubation studies is critical to determining their toxicity. © Copyright © 2021 Rowlands, Galloway, Cole, Lewis, Peck, Thorpe and Manno.",2-s2.0-85113143344
"Perry F.A., Kawaguchi S., Atkinson A., Sailley S.F., Tarling G.A., Mayor D.J., Lucas C.H., King R., Cooper A.","Temperature–Induced Hatch Failure and Nauplii Malformation in Antarctic Krill",2020,"Frontiers in Marine Science","7",,"501","","",,"10.3389/fmars.2020.00501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087501321&doi=10.3389%2ffmars.2020.00501&partnerID=40&md5=8000552e82670315a98b33d3fdf14e16","Antarctic krill inhabit areas of the Southern Ocean that can exceed 4.0°C, yet they preferentially inhabit regions with temperatures of −1.5 to ≤1.5°C. Successful embryonic development and hatching are key to their life cycle, but despite the rapid climatic warming seen across their main spawning areas, the effects of elevated temperatures on embryogenesis, hatching success, and nauplii malformations are unknown. We incubated 24,483 krill embryos in two independent experiments to investigate the hypothesis that temperatures exceeding 1.5°C have a negative impact on hatching success and increase the numbers of malformed nauplii. Field experiments were on krill collected from near the northern, warm limit of their range and embryos incubated soon after capture, while laboratory experiments were on embryos from krill acclimated to laboratory conditions. The hatching success of embryo batches varied enormously, from 0 to 98% (mean 27%). Both field and laboratory experiments showed that hatching success decreased markedly above 3.0°C. Our field experiments also showed an approximate doubling of the percentage of malformed nauplii at elevated temperatures, reaching 50% at 5.0°C. At 3.0°C or below, however, temperature was not the main factor driving the large variation in embryo hatching success. Our observations of highly variable and often low success of hatching to healthy nauplii suggest that indices of reproductive potential of female krill relate poorly to the subsequent production of viable krill larvae and may help to explain spatial discrepancies between the distribution of the spawning stock and larval distribution. © Copyright © 2020 Perry, Kawaguchi, Atkinson, Sailley, Tarling, Mayor, Lucas, King and Cooper.",2-s2.0-85087501321
"Henschke N., Pakhomov E.A.","Latitudinal variations in Salpa thompsoni reproductive fitness",2019,"Limnology and Oceanography","64","2",,"575","584",,"10.1002/lno.11061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062896077&doi=10.1002%2flno.11061&partnerID=40&md5=712e7304130d8dfce4811ee01b4dc98d","Salpa thompsoni is a major grazer that plays a significant and disproportionate role in the Southern Ocean biogeochemical cycle. It occurs in higher numbers in the warmer mid-latitude waters of the Southern Ocean. In recent decades, salp populations shifted significantly southward intruding into areas generally dominated by Antarctic krill. It is unclear whether salps can survive in high latitude waters because of their hypothesized negative reproductive response to low temperatures and scarcity of food. To explore how environmental conditions impact S. thompsoni reproductive fitness, we examined a long-term (1993–2013), cross-latitudinal dataset of S. thompsoni population demographics in the Atlantic sector of the Southern Ocean. Observations cover over 25° of latitude, from just south of the Subtropical Convergence to the Antarctic continent. S. thompsoni populations were strongly driven by temperature with higher abundances observed at temperatures between 3°C and 5°C. Occasionally, dense and mature populations of S. thompsoni occurred at high latitudes during summer, declining in density by autumn, which was accompanied by significant increases in the appearance of failed embryos. The proportion of failed embryos was significantly correlated with decreasing temperature and Chl a, indicating the importance of these parameters in autumn and high latitude population collapses. The successful development and release of an embryo is a critical factor determining the persistence of S. thompsoni populations. Blastozooid bud release occurred continuously from spring to autumn, and may be a way S. thompsoni populations mitigate against the sensitivity of the blastozooid's reproductive fitness to high-Antarctic conditions. © 2018 Association for the Sciences of Limnology and Oceanography",2-s2.0-85062896077
"Henschke N., Pakhomov E.A., Groeneveld J., Meyer B.","Modelling the life cycle of Salpa thompsoni",2018,"Ecological Modelling","387",,,"17","26",,"10.1016/j.ecolmodel.2018.08.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052938191&doi=10.1016%2fj.ecolmodel.2018.08.017&partnerID=40&md5=4c688e603585530f649a04258c9e8461","Salpa thompsoni is an important grazer in the Southern Ocean. It is found from the Subtropical Convergence southward to the coastal Antarctic Seas but being most abundant in the Antarctic Polar Frontal Zone. Low temperatures appear to negatively affect their development, limiting their ability to occur in the krill dominated high Antarctic ecosystems. Yet reports indicate that with ocean warming S. thompsoni have experienced a southward shift in their distribution. As they are efficient filter feeders, this shift can result in large-scale changes in the Southern Ocean ecosystem by increasing competitive or predatory interactions with Antarctic krill. To explore salp bloom dynamics in the Southern Ocean a size-structured S. thompsoni population model was developed with growth, consumption, reproduction and mortality rates dependent on temperature and chlorophyll a conditions. The largest uncertainties in S. thompsoni population ecology are individual and population growth rates, with a recent study identifying the possibility that the life cycle could be much shorter than previously considered. Here we run a suite of hypothesis scenarios under various environmental conditions to determine the most appropriate growth rate. Temperature and chlorophyll a were sufficient drivers to recreate seasonal and interannual dynamics of salp populations at two locations. The most suitable growth model suggests that mean S. thompsoni growth rates are likely to be ∼1 mm body length d−1, 2-fold higher than previous calculations. S. thompsoni biomass was dependent on bud release time, with larger biomass years corresponding to bud release occurring during favorable environmental conditions; increasing the survival and growth of blastozooids and resulting in higher embryo release. This model confirms that it is necessary for growth and reproductive rates to be flexible in order for the salp population to adapt to varying environmental conditions and provides a framework that can examine how future salp populations might respond to climate change. © 2018 Elsevier B.V.",2-s2.0-85052938191
"Bengtson Nash S.M.","Toxicological risks and considerations associated with lipophilic contaminant burdens of Southern Ocean Mysticetes",2018,"Marine Mammal Ecotoxicology: Impacts of Multiple Stressors on Population Health",,,,"381","400",,"10.1016/B978-0-12-812144-3.00014-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059838314&doi=10.1016%2fB978-0-12-812144-3.00014-0&partnerID=40&md5=8bac30ece22e156f5e45dabd2a531306","Southern Ocean foraging baleen whales, as with other capital breeders, represent a ""special case"" scenario for the evaluation of the toxicologic risk posed through lipophilic chemical exposure. Feeding on seasonally productive prey species, followed by extended fasting associated with energy intensive activities, such as migration, competitive breeding behavior, pregnancy, and lactation, results in massive fluctuations in lipid reserves. These fluctuations are mirrored in the toxicokinetics of lipophilic contaminant burdens, with significant mobilization and redistribution of contaminants taking place between the individual's tissues during this time. While the toxicologic consequence of this life-history behavior remains unquantified, fasting should be thought of as a time of ""reexposure"" of target sites of toxicity to harmful chemicals. Of significant relevance is the temporal cooccurrence of pregnancy and nursing of young calves, with elevated circulating maternal chemical burdens. Elevated maternal offloading of persistent organic pollutants to the young is further exacerbated by the disproportionate exposure experienced by the embryo and calf on account of a smaller body size. The interplay of multiple stressors, for example, chemical exposure, negative energy balance, and immune function, during migration remains a critical nexus of priority for future investigation. The importance of such investigations are underscored by the vulnerability of the Antarctic sea-ice ecosystem to the direct effects of polar climate change, which may result in further energetic challenges to Southern Ocean mysticetes, already adapted to metabolic extremes. © 2018 Elsevier Inc. All rights reserved.",2-s2.0-85059838314
"Kilada R., Reiss C.S., Kawaguchi S., King R.A., Matsuda T., Ichii T.","Validation of band counts in eyestalks for the determination of age of Antarctic krill, Euphausia superba",2017,"PLoS ONE","12","2","e0171773","","",,"10.1371/journal.pone.0171773","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013382631&doi=10.1371%2fjournal.pone.0171773&partnerID=40&md5=2d23f5bb52ce5145bcf25d65302b2ab1","Using known-age Antarctic krill (Euphausia superba) grown from eggs hatched at two different laboratories, we validate the annual pattern of bands deposited in the eyestalks of krill and determine the absolute age of these animals. Ages two through five years were validated, and these animals ranged from 37.1 to 62.6 mm in total length. The band counts in these individuals were either identical to their absolute ages, or only failed to agree by a few months, which demonstrates the accuracy of this method. Precision and bias were estimated graphically using Chang's index (Coefficient of Variation = 5.03%). High accuracy and precision between readers and low ageing bias indicate that longitudinal sections of eyestalks can be used to age krill in wild samples and to develop age-based stock assessment models for krill. Archival samples preserved in formalin (5%) and stored in ambient conditions were also readable. Ageing preserved krill will provide the opportunity to examine changes in growth among krill populations within the Southern Ocean and to retrospectively examine changes in krill production over the last century to better understand the historical and future impacts of climate change on this critical Southern Ocean species.",2-s2.0-85013382631
"Słomska A.W., Panasiuk-Chodnicka A.A., Zmijewska M.I., Mańko M.K.","Variability of Salpa thompsoni population structure in the Drake Passage in summer season 2010",2015,"Polish Polar Research","36","4",,"391","404",,"10.1515/popore-2015-0020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952025966&doi=10.1515%2fpopore-2015-0020&partnerID=40&md5=571d0b8b27ed4799eb66615812042829","Dynamic climate changes have become noticeable in recent decades, especially in the vulnerable region of the West Antarctic. The relatively simple food web of this area relies on krill - Euphausia superba. Presumably, as a result of climatic fluctuations, a decrease in the number of this crustacean has been recorded, followed by an increase in the population of the gelatinous zooplankter Salpa thompsoni. In the research presented herein, population and morphometric analyses of Salpa thompsoni have been conducted. Specimens for this research were collected from the Drake Passage, using a Bongo net in the summer season of 2010. It has been found that the horizontal distribution of this gelatinous zooplankter was significantly irregular (Kruskal-Wallis test, p < 0.001). In the northern part of the investigated area, both blastozooids and oozooids were recorded, which confirms the dynamic development of this species. The central part of the Drake Passage was characterized by the dominance of blastozooids, with embryos found at different stages of the development. Only in the region of the South Shetland Islands, the salpid population was characterized by reduced or even stopped reproduction. The immense reproductive efficiency observed in the Salpa thompsoni population was mostly induced by the favourable thermal conditions. These observations may suggest that the ongoing climat changes in the West Antarctic will promote the population expansion of this species. © 2015 Polish Academy of Sciences.",2-s2.0-84952025966
"Jia Z., Virtue P., Swadling K.M., Kawaguchi S.","A photographic documentation of the development of Antarctic krill (Euphausia superba) from egg to early juvenile",2014,"Polar Biology","37","2",,"165","179",,"10.1007/s00300-013-1420-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892532973&doi=10.1007%2fs00300-013-1420-7&partnerID=40&md5=20146802fcb6995f6c4d886685ca71d6","Antarctic krill (Euphausia superba) is a key species in Antarctic marine ecosystems, as well as an important species in the Southern Ocean fishery. Here, we provide the first detailed photographic documentation of embryonic and larval development of Antarctic krill over a 5-month developmental period under controlled laboratory conditions. Developing embryos and larvae were photographed every 3 h and every 5 days, respectively. Our results indicated a developmental time of approximately 6 days for embryos and 138 days for larvae (0.5 °C). This study provided baseline biometry information for future investigations of Antarctic krill development under changing environmental conditions. © 2013 Springer-Verlag Berlin Heidelberg.",2-s2.0-84892532973
"Piñones A., Hofmann E.E., Daly K.L., Dinniman M.S., Klinck J.M.","Modeling environmental controls on the transport and fate of early life stages of Antarctic krill (Euphausia superba) on the western Antarctic Peninsula continental shelf",2013,"Deep-Sea Research Part I: Oceanographic Research Papers","82",,,"17","31",,"10.1016/j.dsr.2013.08.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883197741&doi=10.1016%2fj.dsr.2013.08.001&partnerID=40&md5=4a4c20e62ae745c92a023b357bfa30d0","A one-dimensional, temperature-dependent model was used to simulate the descent-ascent cycle of the embryos and early larval stages of Antarctic krill to determine which regions of the western Antarctic Peninsula (wAP) continental shelf support successful completion of this cycle under present environmental conditions and those projected to occur as a result of climate change. The transport and fate of the embryo and larva under present and modified conditions was investigated with Lagrangian particle tracking simulations. The two modeling studies were implemented using temperature and density (embryo-larva model) and circulation distributions (Lagrangian particle tracking) obtained from a high resolution version of the Regional Ocean Modeling System configured for the wAP shelf region. Additional simulations used temperature and circulation distributions obtained from simulations that were forced with increased wind speed and increased transport of the Antarctic Circumpolar Current (ACC), both projected to possibly occur with climate change in the wAP region. Simulations using present conditions showed that successful completion of the descent-ascent cycle occurred along the outer shelf and on the shelf in regions with bottom depths of 600-700. m. Estimated residence times for the shelf regions that support success of the embryo and larva were 20-30 days. Thus, krill spawned in the mid and inner shelf regions can be retained in these regions through development to the first feeding stage (calyptopis 1). Increased winds and ACC transport resulted in more onshelf transport of Circumpolar Deep Water (CDW), which increased the volume of warm (1-1.5. °C) water at depth. These conditions supported a moderate increase in success of the krill embryo and larva, but only for limited areas of the shelf where hatching depths decreased by 10-30. m (<5%) and development time to the calyptopis 1 stage decreased by 15-20%. The modified circulation conditions also supported increased advection of krill larvae into areas of the shelf that would experience the largest reduction of sea ice, especially in winter. Projected changes in wind strength and CDW transport may potentially enhance larval survival and advection onto the wAP shelf, but recruitment may be decreased by modifications to local sea ice distributions that would impede survival of Antarctic krill that overwinter on the shelf. © 2013 Elsevier Ltd.",2-s2.0-84883197741
"Yoshida T., Virtue P., Kawaguchi S., Nichols P.D.","Factors determining the hatching success of Antarctic krill Euphausia superba embryo: Lipid and fatty acid composition",2011,"Marine Biology","158","10",,"2313","2325",,"10.1007/s00227-011-1735-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052960390&doi=10.1007%2fs00227-011-1735-2&partnerID=40&md5=1e0258b52bdea2166773b8513ed350ad","The present study addresses the effect of maternal diet on hatching success and condition of embryos and larvae of Antarctic krill Euphausia superba. Lipid and fatty acid content and composition were determined in field and laboratory samples. Developmental stages analyzed in embryos included: multiple-cell, gastrula, and limb-bud stages. Larval stages analyzed included: nauplius I, nauplius II, and metanauplius. Laboratory-reared embryos were spawned by gravid females incubated under three feeding groups: (1) phytoplankton mixture, (2) phytoplankton mixture and minced clam, and (3) phytoplankton mixture, minced clam, and commercial larval food. Hatching success was highest in group 3 (100%), lowest in group 1 (0%), and highly variable in field samples (0-48%). Lipid decreased slightly in embryos during embryonic development, while large decreases in lipid were found during nauplius development. High levels of 18:2(n-6), 20:4(n-6), and 22:6(n-3) observed with group 3 samples coincided with high hatching success in krill embryos. The ratio of 22:6(n-3)/20:5(n-3) also correlated to hatching success of embryos. The fatty acid profile of embryos in group 3 was similar to that of the field-collected embryos, reflecting the contribution of the commercial larval food in the maternal diet. In our study, the maternal diet was found to influence the fatty acid composition of embryos and in turn affects the hatching success of krill. Specific polyunsaturated fatty acids appeared to play important roles in embryogenesis in krill. © 2011 Springer-Verlag.",2-s2.0-80052960390
