Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,EID
"Veytia D., Bestley S., Kawaguchi S., Meiners K.M., Murphy E.J., Fraser A.D., Kusahara K., Kimura N., Corney S.","Overwinter sea-ice characteristics important for Antarctic krill recruitment in the southwest Atlantic",2021,"Ecological Indicators","129",,"107934","","",,"10.1016/j.ecolind.2021.107934","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109067248&doi=10.1016%2fj.ecolind.2021.107934&partnerID=40&md5=3b4e7a2fc72c897f6d990f60b1072d3a","Climate change alters the extent and structure of sea-ice environments, which affects how they function as a habitat for polar species. Identifying sea-ice characteristics that serve as indicators of habitat quality will be crucial to the monitoring and management of climate change impacts. In the Southern Ocean, Antarctic krill is a key prey species and fishery target. Krill larvae depend upon sea-ice habitats to survive the winter and recruit to the population in spring. Existing observations of sea-ice characteristics lack sufficient spatiotemporal coverage to quantify which ones contribute to favourable overwintering habitat, leading to uncertainties in how current and future changes in sea ice affect krill populations. Here, we derive regional-scale indices of annual krill recruitment spanning 35 years across the southwest Atlantic. To develop meaningful indicators of sea-ice habitat, we selected variables from a high-resolution sea-ice model that are hypothesized as relevant for larval habitat use. The resulting correlations between recruitment and sea-ice indicators vary by region and show remote connections to sea ice that correspond with established theories of larval transport. Through an improved representation of sea-ice habitat quality, as compared with using more traditional satellite-derived variables such as sea-ice extent and duration, we highlight plausible regions of overwintering habitat. Our findings improve current understanding of how krill are likely responding to changing sea ice and support emerging views that larval habitat use is complex. Furthermore, regional variation in larval dependence on sea ice may provide pockets of resilience to change for the broader krill population. © 2021",2-s2.0-85109067248
"Dietrich K.S., Santora J.A., Reiss C.S.","Winter and summer biogeography of macrozooplankton community structure in the northern Antarctic Peninsula ecosystem",2021,"Progress in Oceanography","196",,"102610","","",,"10.1016/j.pocean.2021.102610","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108450604&doi=10.1016%2fj.pocean.2021.102610&partnerID=40&md5=81e36c540cec2c975557d0c29758bb2e","Climate forcing is impacting polar marine ecosystems through increased variability of winter sea-ice dynamics, which likely influences the distribution, abundance and structure of zooplankton assemblages, and thereby trophodynamics of marine food webs. Due to the challenges of working in polar marine ecosystems, most knowledge on polar zooplankton community structure is derived from summer surveys. Here we examine the spatial distribution, abundance and community structure of macrozooplankton in relation to sea-ice and ocean-climate dynamics within the Antarctic Peninsula marine ecosystem over five consecutive winters. We compare the patterns revealed during winter with historical data collected in the same region during austral summer. Hydrographic and macrozooplankton data were collected from >100 standard stations off the northern Antarctic Peninsula during summer (2003–2011) and winter (2012–2016). Using multivariate methods, the environmental drivers and geographic structuring of the macrozooplankton community during winter and summer were investigated. Eight taxa made up 90% of total macrozooplankton abundance in winter including Metridia species, post-larval and larval Euphausia superba, post-larval Thysanoessa macrura, Limacina helicina, Chaetognatha, Ostracoda and Radiozoa. Eight slightly different taxa including Calanoides acutus, Salpa thompsoni, T. macrura (post-larvae and larvae), Metridia spp., E. superba larvae, Chaetognatha, and Rhincalanus spp. made up 87% of the total abundance in summer. Macrozooplankton clustered into five groups in winter and seven groups in summer. Winter macrozooplankton structure was more spatially consistent among years compared to summer regardless of sea-ice conditions. Salinity, chlorophyll a biomass, upper mixed layer depth and time of day were most strongly correlated with the multivariate ordination in winter whereas salinity, phaeopigment biomass and year had the highest correlations for summer, indicating the importance of similar physical features in both seasons. However, the importance of time scales differed among seasons. Although environmental determinants of summer and winter macrozooplankton community structure indicate that community structure and occurrence were strongly tied to regional variability of salinity and primary productivity gradients, macrozooplankton community structure is likely much more complex than only a few hydrographic variables can explain. Cluster boundaries are likely driven by dynamic locations of currents, fronts and localized eddies in any given season or year. © 2021 Elsevier Ltd",2-s2.0-85108450604
"David C.L., Schaafsma F.L., van Franeker J.A., Pakhomov E.A., Hunt B.P.V., Lange B.A., Castellani G., Brandt A., Flores H.","Sea-ice habitat minimizes grazing impact and predation risk for larval Antarctic krill",2021,"Polar Biology","44","6",,"1175","1193",,"10.1007/s00300-021-02868-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105880522&doi=10.1007%2fs00300-021-02868-7&partnerID=40&md5=4e8c21f8a0b3210862e15bfa37b1774a","Survival of larval Antarctic krill (Euphausia superba) during winter is largely dependent upon the presence of sea ice as it provides an important source of food and shelter. We hypothesized that sea ice provides additional benefits because it hosts fewer competitors and provides reduced predation risk for krill larvae than the water column. To test our hypothesis, zooplankton were sampled in the Weddell-Scotia Confluence Zone at the ice-water interface (0–2 m) and in the water column (0–500 m) during August–October 2013. Grazing by mesozooplankton, expressed as a percentage of the phytoplankton standing stock, was higher in the water column (1.97 ± 1.84%) than at the ice-water interface (0.08 ± 0.09%), due to a high abundance of pelagic copepods. Predation risk by carnivorous macrozooplankton, expressed as a percentage of the mesozooplankton standing stock, was significantly lower at the ice-water interface (0.83 ± 0.57%; main predators amphipods, siphonophores and ctenophores) than in the water column (4.72 ± 5.85%; main predators chaetognaths and medusae). These results emphasize the important role of sea ice as a suitable winter habitat for larval krill with fewer competitors and lower predation risk. These benefits should be taken into account when considering the response of Antarctic krill to projected declines in sea ice. Whether reduced sea-ice algal production may be compensated for by increased water column production remains unclear, but the shelter provided by sea ice would be significantly reduced or disappear, thus increasing the predation risk on krill larvae. © 2021, The Author(s).",2-s2.0-85105880522
"Rombolá E., Franzosi C., Tosonotto G., Vivequin S., Alder V., Marschoff E.","Density and distribution of euphausiid larvae in the Scotia Sea in the 2011 summer",2021,"Polar Biology","44","4",,"783","794",,"10.1007/s00300-021-02836-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102924071&doi=10.1007%2fs00300-021-02836-1&partnerID=40&md5=e83a6e15b9450f5c9e649d61c6c95815","Monitoring of early euphausiid larvae provides valuable information on the mechanisms involved in recruitment to the adult populations. As the Antarctic is undergoing rapid environmental change, these mechanisms are key to ecosystem-based management of the krill fishery. We analyzed the distribution and abundance of early euphausiid larvae (calyptopes I to late furciliae) from 76 plankton samples from surface to 300 m depth in the Atlantic sector in January 2011 in relation with a previous survey and published information. Thysanoessa macrura (mean density: 209 ind m−2) dominated the sampling while Euphausia superba (mean density: 13.63 ind m−2) and Euphausia frigida (mean density: 10.05 ind m−2) were also present. T. macrura density increased while E. superba experienced a high decrease respect to historical data. Clustering of stations and correspondence analysis showed that the associations of larvae and water masses are in agreement with literature reports, so the differences on the abundance of early larvae are within the observed variability and cannot be attributed to any single factor, suggesting that it is due to more subtle changes such as the stability of the water column and/or vorticity in the fronts. © 2021, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature.",2-s2.0-85102924071
"Conroy J.A., Reiss C.S., Gleiber M.R., Steinberg D.K.","Linking Antarctic krill larval supply and recruitment along the Antarctic Peninsula",2020,"Integrative and Comparative Biology","60","6",,"1386","1400",,"10.1093/icb/icaa111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098673434&doi=10.1093%2ficb%2ficaa111&partnerID=40&md5=3599a80ec1d03960051e1f2cb7b09bb6","Antarctic krill (Euphausia superba) larval production and overwinter survival drive recruitment variability, which in turn determines abundance trends. The Antarctic Peninsula has been described as a recruitment hot spot and as a potentially important source region for larval and juvenile krill dispersal. However, there has been no analysis to spatially resolve regional-scale krill population dynamics across life stages. We assessed spatiotemporal patterns in krill demography using two decades of austral summer data collected along the North and West Antarctic Peninsula since 1993. We identified persistent spatial segregation in the summer distribution of euphausiid larvae (E. superba plus other species), which were concentrated in oceanic waters along the continental slope, and E. superba recruits, which were concentrated in shelf and coastal waters. Mature females of E. superba were more abundant over the continental shelf than the slope or coast. Euphausiid larval abundance was relatively localized and weakly correlated between the North and West Antarctic Peninsula, while E. superba recruitment was generally synchronized throughout the entire region. Euphausiid larval abundance along the West Antarctic Peninsula slope explained E. superba recruitment in shelf and coastal waters the next year. Given the localized nature of krill productivity, it is critical to evaluate the connectivity between upstream and downstream areas of the Antarctic Peninsula and beyond. Krill fishery catch distributions and population projections in the context of a changing climate should account for ontogenetic habitat partitioning, regional population connectivity, and highly variable recruitment. © The Author(s) 2020. Published by Oxford University Press on behalf of the Society for Integrative and Comparative Biology.",2-s2.0-85098673434
"Reiss C.S., Hinke J.T., Watters G.M.","Demographic and maturity patterns of Antarctic krill (Euphausia superba) in an overwintering hotspot",2020,"Polar Biology","43","9",,"1233","1245",,"10.1007/s00300-020-02704-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089187421&doi=10.1007%2fs00300-020-02704-4&partnerID=40&md5=ec8c4c8dc06d2dcbcfe89922eea9cd34","Overwinter environmental conditions are a major driver of larval survival, recruitment, and reproductive pre-conditioning in Antarctic krill (Euphausia superba). Few winter studies exist from which to infer impacts of changing environmental conditions on the biology of krill. Here demographic and maturity patterns of krill during five winters are examined at an overwintering hotspot in the northern Antarctic Peninsula. Two different recruitment pulses were present over the 5 years of the study. A large recruitment event was evident in winter 2012, followed by cohort growth tracked through winter 2014. A recruitment event also occurred in 2015, despite lower abundance of larvae in 2013 and 2014. The recruitment pulse in 2015 was correlated with the intrusion of high salinity water, characteristic of the Weddell Sea, during a positive El Niño–Southern Oscillation phase, suggesting recruitment was driven by advection of recruits into the northern Antarctic Peninsula. Despite the inter-annual environmental variability, most female krill were in resting reproductive stages in all years. The lack of variability in female reproductive status during winter may impose a developmental constraint to earlier spawning than previously considered; the time necessary to advance from resting stages to reproductive maturity may limit the ability of krill to adapt to trends in the timing and magnitude of the spring bloom. The observed patterns of recruitment and variation in maturity stages highlight the complexity of krill population dynamics and should be considered when projecting population responses of Antarctic krill to climate-driven changes in the Southern Ocean. © 2020, This is a U.S. Government work and not under copyright protection in the US; foreign copyright protection may apply.",2-s2.0-85089187421
"Perry F.A., Kawaguchi S., Atkinson A., Sailley S.F., Tarling G.A., Mayor D.J., Lucas C.H., King R., Cooper A.","Temperature–Induced Hatch Failure and Nauplii Malformation in Antarctic Krill",2020,"Frontiers in Marine Science","7",,"501","","",,"10.3389/fmars.2020.00501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087501321&doi=10.3389%2ffmars.2020.00501&partnerID=40&md5=8000552e82670315a98b33d3fdf14e16","Antarctic krill inhabit areas of the Southern Ocean that can exceed 4.0°C, yet they preferentially inhabit regions with temperatures of −1.5 to ≤1.5°C. Successful embryonic development and hatching are key to their life cycle, but despite the rapid climatic warming seen across their main spawning areas, the effects of elevated temperatures on embryogenesis, hatching success, and nauplii malformations are unknown. We incubated 24,483 krill embryos in two independent experiments to investigate the hypothesis that temperatures exceeding 1.5°C have a negative impact on hatching success and increase the numbers of malformed nauplii. Field experiments were on krill collected from near the northern, warm limit of their range and embryos incubated soon after capture, while laboratory experiments were on embryos from krill acclimated to laboratory conditions. The hatching success of embryo batches varied enormously, from 0 to 98% (mean 27%). Both field and laboratory experiments showed that hatching success decreased markedly above 3.0°C. Our field experiments also showed an approximate doubling of the percentage of malformed nauplii at elevated temperatures, reaching 50% at 5.0°C. At 3.0°C or below, however, temperature was not the main factor driving the large variation in embryo hatching success. Our observations of highly variable and often low success of hatching to healthy nauplii suggest that indices of reproductive potential of female krill relate poorly to the subsequent production of viable krill larvae and may help to explain spatial discrepancies between the distribution of the spawning stock and larval distribution. © Copyright © 2020 Perry, Kawaguchi, Atkinson, Sailley, Tarling, Mayor, Lucas, King and Cooper.",2-s2.0-85087501321
"Walsh J., Reiss C.S., Watters G.M.","Flexibility in antarctic krill euphausia superba decouples diet and recruitment from overwinter sea-ice conditions in the northern antarctic peninsula",2020,"Marine Ecology Progress Series","642",,,"1","19",,"10.3354/meps13325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091488889&doi=10.3354%2fmeps13325&partnerID=40&md5=549e051e76f9f14b4e545bf52e1a4abf","Winter sea-ice conditions are considered important for Antarctic krill Euphausia superba survival and recruitment, yet few broad-scale longitudinal studies have examined the underlying relationships between winter conditions and krill recruitment. We used data from a 4 yr winter study of krill con-dition (lipid content), diet (stable isotopes and fatty acids), and length distributions around the northern Antarctic Peninsula to examine relationships among environmental variables (annual sea-ice cover, water column chlorophyll a [chl a], and upper mixed-layer water temperature), the condition and diet of krill, and recruitment success the following year. Diet indicators (lipid content, ?15N, ?13C, and the fatty acid ratios 16:1n-7/18:4n-3 and 18:1n-9/18:1n-7) in postlarvae were consistent among years regardless of seaice cover, suggesting that post-larval krill do not rely on sea-ice resources for overwinter survival. Diet indicators in larvae were more variable and suggest that larvae may feed on sea-ice resources when they are available but can still persist in the water column when they are not. Principal component analysis between environmental variables and diet indicators showed that water-column chl a was the only variable that significantly affected diet, regardless of annual changes in sea-ice cover. Extensive winter ice in one year did not translate into successful recruitment the following year. Krill demonstrate a high degree of flexibility with respect to overwinter habitat and diet, and the degree to which sea ice is important during different times of year and at different life stages may be more complex than previously thought. © 2020 Inter-Research. All rights reserved.",2-s2.0-85091488889
"Perry F.A., Atkinson A., Sailley S.F., Tarling G.A., Hill S.L., Lucas C.H., Mayor D.J.","Habitat partitioning in Antarctic krill: Spawning hotspots and nursery areas",2019,"PLoS ONE","14","7","e0219325","","",,"10.1371/journal.pone.0219325","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069712360&doi=10.1371%2fjournal.pone.0219325&partnerID=40&md5=3aaf1f79ed22c0de9a762f7ddedbb29b","Antarctic krill, Euphausia superba, have a circumpolar distribution but are concentrated within the south-west Atlantic sector, where they support a unique food web and a commercial fishery. Within this sector, our first goal was to produce quantitative distribution maps of all six ontogenetic life stages of krill (eggs, nauplii plus metanauplii, calyptopes, furcilia, juveniles, and adults), based on a compilation of all available post 1970s data. Using these maps, we then examined firstly whether “hotspots” of egg production and early stage nursery occurred, and secondly whether the available habitat was partitioned between the successive life stages during the austral summer and autumn, when krill densities can be high. To address these questions, we compiled larval krill density records and extracted data spanning 41 years (1976–2016) from the existing KRILLBASE-abundance and KRILLBASE-length-frequency databases. Although adult males and females of spawning age were widely distributed, the distribution of eggs, nauplii and metanauplii indicates that spawning is most intense over the shelf and shelf slope. This contrasts with the distributions of calyptope and furcilia larvae, which were concentrated further offshore, mainly in the Southern Scotia Sea. Juveniles, however, were strongly concentrated over shelves along the Scotia Arc. Simple environmental analyses based on water depth and mean water temperature suggest that krill associate with different habitats over the course of their life cycle. From the early to late part of the austral season, juvenile distribution moves from ocean to shelf, opposite in direction to that for adults. Such habitat partitioning may reduce intraspecific competition for food, which has been suggested to occur when densities are exceptionally high during years of strong recruitment. It also prevents any potential cannibalism by adults on younger stages. Understanding the location of krill spawning and juvenile development in relation to potentially overlapping fishing activities is needed to protect the health of the south-west Atlantic sector ecosystem. © 2019 Perry et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",2-s2.0-85069712360
"Rombolá E.F., Franzosi C.A., Tosonotto G.V., Alder V.A., Marschoff E.R.","Variability of euphausiid larvae densities during the 2011, 2012, and 2014 summer seasons in the Atlantic sector of the Antarctic",2019,"Polar Science","19",,,"86","93",,"10.1016/j.polar.2018.11.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056558046&doi=10.1016%2fj.polar.2018.11.004&partnerID=40&md5=e42f18d3ad395768b25d1f82e348ea1b","Euphausiid larvae were collected in the Weddell Scotia Confluence region in summer 2011, in the West Antarctic Peninsula and Scotia Sea in 2012, and in the South Orkneys Shelf in 2014. From 2011 to 2014 the larval stages geographic distribution and the distribution of water masses were consistent with published information. The densities observed were compared between the cruises and with the 1981 and 1995 values by means of a kernel estimate of absolute and relative densities at a fixed grid of points. The values of Thysanoessa macrura were higher in 2011 and 2012 and those of Euphausia superba were lower than those observed in 1981 and 1995. Euphausia frigida did not show significant variations in absolute density but their relative values were higher than those of E. superba. No significant variations were observed in absolute values between 1981 and 1995. The opposite pattern was found in 2014, with significantly higher densities of E. superba than those of T. macrura. No single factor could be identified to explain these variations in density, suggesting the existence of complex mechanisms coupling the reproductive biology with oceanographic phenomena. Their description will require ample spatial and temporal monitoring rather than locally detailed observations. © 2018 Elsevier B.V. and NIPR",2-s2.0-85056558046
