PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Plourde, S; McQuinn, IH; Maps, F; St-Pierre, JF; Lavoie, D; Joly, P				Plourde, Stephane; McQuinn, Ian H.; Maps, Frederic; St-Pierre, Jean-Francois; Lavoie, Diane; Joly, Pierre			Daytime depth and thermal habitat of two sympatric krill species in response to surface salinity variability in the Gulf of St Lawrence, eastern Canada	ICES JOURNAL OF MARINE SCIENCE												We describe the response of acoustically determined weighted mean depth (WMD) of two sympatric species of krill, Thysanoessa raschii and Meganyctiphanes norvegica, to variations in surface salinity during summer in the Gulf of St Lawrence. In this coastal system, non-living particulates and CDOM carried by the freshwater run-off of the St Lawrence River and several large rivers have a strong impact on turbidity and light attenuance in the surface layer. The WMD of T. raschii and M. norvegica were significantly and positively related to surface salinity. However, M. norvegica was found deeper and in warmer water than T. raschii, and the latter had a steeper response to surface salinity. The species-specific relationships between daytime WMD and surface salinity enabled us to estimate both species regional and interannual variations in summertime temperature habitat during a 21-year period (1991-2011). The variability in daytime WMD resulted in significant inter- and intraspecific differences in the temperature experienced by adult krill that may impact development, growth, and reproduction. Our study illustrated the importance of considering species-specific responses to environmental forcing in coupled biophysical models that aim to explore the impacts of environmental variations on krill dynamics.				Maps, Frederic/L-4546-2013	Maps, Frederic/0000-0001-7115-2464												1054-3139	1095-9289				JAN-FEB	2014	71	2					272	281		10.1093/icesjms/fst023							WOS:000330844100014						
J	Nicol, S; Brierley, AS				Nicol, Stephen; Brierley, Andrew S.			Through a glass less darkly-New approaches for studying the distribution, abundance and biology of Euphausiids	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												Euphausiids are vital components of many oceanic foodwebs. Due to their large size, they are key prey species for many vertebrates, and several species are subject to commercial fisheries. The best studied euphausiid species is Antarctic krill (Euphausia superba), and a considerable literature exists documenting its ecology. The abundance of Antarctic krill varies enormously over multiple time and space scales in the Southern Ocean. This variability is driven partly by physical processes, but also by the behaviour of the animals as individuals and as groups. It is likely that such variability also affects the populations of other large euphausiid species. In order to understand this variability, particularly in the context of rapid environmental change and expanding fisheries interests, we need to shift emphasis from conventional point- and transect-sampling conducted from brief research cruises usually in summer to basin-scale observations over extended time periods. Future studies of the large-scale biology of krill of all species will also need to consider how their growth, reproduction and behaviour might alter in response to predicted environmental changes such as decline in sea ice cover, rising temperature and acidification of the ocean. Paradoxically, to answer many outstanding questions in krill biology, there also needs to be a shift towards examining the three-dimensional dynamics of krill aggregations on very small space and timescales. This paper outlines some of the approaches that might enable us to make progress in understanding these key organisms at multiple spatial and temporal scales, approaches that in turn may leave us better able to manage krill populations into the future. Whilst the paper's focus is primarily on Antarctic krill, the findings are applicable generally to other large, schooling euphausiid species. Crown Copyright (C) 2009 Published by Elsevier Ltd. All rights reserved.				Brierley, Andrew S/G-8019-2011	Brierley, Andrew S/0000-0002-6438-6892												0967-0645	1879-0100				APR	2010	57	7-8					496	507		10.1016/j.dsr2.2009.10.002							WOS:000277069300003						
J	Burri, L; Wyse, C; Gray, SR; Harris, WS; Lazzerini, K				Burri, Lena; Wyse, Cathy; Gray, Stuart R.; Harris, William S.; Lazzerini, Kali			Effects of dietary supplementation with krill meal on serum pro-inflammatory markers after the Iditarod sled dog race	RESEARCH IN VETERINARY SCIENCE												A seafood-based supplement from krill, rich in omega-3 phospholipids and proteins was tested on a group of dogs competing in the 2016 Iditarod dog sled race to investigate the effects of krill meal on exercise-induced inflammation and muscle damage in comparison to a control group. A single team of 16 dogs received 8% krill meal for 5 weeks prior to the start of race, while another team of 16 dogs received no supplementation. Ten dogs of the treatment and 11 dogs of the control group finished the race and their blood was analyzed for omega-3 index, inflammation (CRP) and muscle damage (CK). The omega-3 index of the krill meal-fed dogs was significantly higher at the beginning of the race (mean 6.2% in the supplemented vs 5.2% in the control group, p < .001). CRP concentrations increased from 7.05 +/- 2.27 to 37.04 +/- 9.16 mu g/ml in the control and from 4.26 +/- 0.69 to 16.56 +/- 3.03 mu g/ml in the treatment group, with a significant difference between the groups (p < .001). CK activity was increased from 90.75 +/- 8.15 IU/1 to 715.90 +/- 218.9 IU/1 in the control group and from 99.55 +/- 12.15 to 515.69 +/- 98.98 in the supplemented group, but there were no differences between groups (p = .266). The results showed that krill meal supplementation led to significantly higher omega-3 index, which correlated with lower inflammation and a tendency for reduced muscle damage after this long-distance sled dog competition. However, these results need to be confirmed by more controlled studies, since it was a field study and effects of race speed or other performance related factors such as fitness and musher skill on the results cannot be excluded.				Harris, William Stephen/T-1674-2019; Gray, Stuart R/L-2489-2017	Harris, William Stephen/0000-0003-3042-9353; Gray, Stuart R/0000-0001-8969-9636												0034-5288	1532-2661				DEC	2018	121						18	22		10.1016/j.rvsc.2018.10.002							WOS:000451937600004	30312832					
J	TURKIEWICZ, M; GALAS, E; KALINOWSKA, H				TURKIEWICZ, M; GALAS, E; KALINOWSKA, H			MICROFLORA OF ANTARCTIC KRILL (EUPHAUSIA-SUPERBA)	ACTA MICROBIOLOGICA POLONICA																	Kalinowska, Halina/0000-0001-8902-0005												0001-6195						1982	31	2					175	&									WOS:A1982QC88100009	6188340					
J	KAWAMURA, Y; NISHIMURA, K; IGARASHI, S; DOI, E; YONEZAWA, D				KAWAMURA, Y; NISHIMURA, K; IGARASHI, S; DOI, E; YONEZAWA, D			CHARACTERISTICS OF AUTOLYSIS OF ANTARCTIC KRILL	AGRICULTURAL AND BIOLOGICAL CHEMISTRY																													0002-1369						1981	45	1					93	100		10.1080/00021369.1981.10864488							WOS:A1981KZ88600014						
J	KAZARIAN, R				KAZARIAN, R			SCIENTISTS STUDYING KRILL IN ANTARCTIC WATERS	ENVIRONMENTAL CONSERVATION																													0376-8929						1980	7	4					300	300		10.1017/S0376892900008092							WOS:A1980LD27800014						
J	Cox, MJ; Candy, S; de la Mare, WK; Nicol, S; Kawaguchi, S; Gales, N				Cox, Martin James; Candy, Steven; de la Mare, William K.; Nicol, Stephen; Kawaguchi, So; Gales, Nicholas			Clarifying trends in the density of Antarctic krill Euphausia superba Dana, 1850 in the South Atlantic. A response to Hill et al	JOURNAL OF CRUSTACEAN BIOLOGY												A commentary by Hill et al. (2019) raised some questions concerning the analyses of trends in krill density presented in Cox et al. (2018). We have re-examined our analyses and conclude that our approach does not contain multiple errors as asserted by Hill et al. (2019). Specifically, we reiterate that our statistical analysis of the publicly available version of KRILLBASE does not support the notion of a precipitous decline in krill density between 1976 and 2016. We respond to the technical criticisms made by Hill et al. (2019) of our work. We include a section where we suggest some approaches to help build consensus on detecting ecological trends in the Southern Ocean in the future. These approaches include: integrated assessments incorporating all relevant data, utilising data that will become available in the future from emerging technologies, and suggestions of other potential population monitoring methods that may be effective for krill.																	0278-0372	1937-240X				MAY	2019	39	3					323	327		10.1093/jcbiol/ruz010							WOS:000469782300015						
J	Saleh, R; Burri, L; Benitez-Santana, T; Turkmen, S; Castro, P; Izquierdo, M				Saleh, Reda; Burri, Lena; Benitez-Santana, Tibiabin; Turkmen, Serhat; Castro, Pedro; Izquierdo, Marisol			Dietary krill meal inclusion contributes to better growth performance of gilthead seabream juveniles	AQUACULTURE RESEARCH												There is a need to find sustainable alternatives to fishmeal (FM) and fish oil (FO) in feed formulations to support the continued growth of aquaculture. FM is mostly produced from mass-caught pelagic species, but the production has been relatively constant for several decades. The aim of this study was to investigate the potential of dietary krill meal (KM) inclusion as a sustainable alternative to FM. In view of that, a feeding trial with gilthead seabream juveniles was conducted to evaluate whether dietary KM at 3%, 6% and 9% inclusion improves growth performance in comparison with a control diet. At the end of the study, fish in the 9% KM group showed significantly higher body weight (32.76 g) compared with fish fed the control diet (30.30 g). Moreover, FM replacement by 9% KM indicated a reduction in the accumulation of lipid droplets in the hepatocytes and around the pancreatic islets. In summary, this study suggests that FM can be reduced in diets for seabream without negatively affecting growth performance, when KM is added. On the contrary, KM enhances gilthead seabream growth and reduces lipid accumulation and damage of hepatocytes, which will open an interesting innovation line to completely replace FM by alternative terrestrial protein sources and the partial inclusion of KM.				Turkmen, Serhat/I-7735-2019	Turkmen, Serhat/0000-0003-0410-9161; saleh, reda/0000-0003-3598-1825; Castro, Pedro Luis/0000-0002-0395-899X; Izquierdo, Marisol/0000-0003-3583-6660												1355-557X	1365-2109				OCT	2018	49	10					3289	3295		10.1111/are.13792							WOS:000443545100005						
J	Constable, AJ; Melbourne-Thomas, J; Corney, SP; Arrigo, KR; Barbraud, C; Barnes, DKA; Bindoff, NL; Boyd, PW; Brandt, A; Costa, DP; Davidson, AT; Ducklow, HW; Emmerson, L; Fukuchi, M; Gutt, J; Hindell, MA; Hofmann, EE; Hosie, GW; Iida, T; Jacob, S; Johnston, NM; Kawaguchi, S; Kokubun, N; Koubbi, P; Lea, MA; Makhado, A; Massom, RA; Meiners, K; Meredith, MP; Murphy, EJ; Nicol, S; Reid, K; Richerson, K; Riddle, MJ; Rintoul, SR; Smith, WO; Southwell, C; Stark, JS; Sumner, M; Swadling, KM; Takahashi, KT; Trathan, PN; Welsford, DC; Weimerskirch, H; Westwood, KJ; Wienecke, BC; Wolf-Gladrow, D; Wright, SW; Xavier, JC; Ziegler, P				Constable, Andrew J.; Melbourne-Thomas, Jessica; Corney, Stuart P.; Arrigo, Kevin R.; Barbraud, Christophe; Barnes, David K. A.; Bindoff, Nathaniel L.; Boyd, Philip W.; Brandt, Angelika; Costa, Daniel P.; Davidson, Andrew T.; Ducklow, Hugh W.; Emmerson, Louise; Fukuchi, Mitsuo; Gutt, Julian; Hindell, Mark A.; Hofmann, Eileen E.; Hosie, Graham W.; Iida, Takahiro; Jacob, Sarah; Johnston, Nadine M.; Kawaguchi, So; Kokubun, Nobuo; Koubbi, Philippe; Lea, Mary-Anne; Makhado, Azwianewi; Massom, Rob A.; Meiners, Klaus; Meredith, Michael P.; Murphy, Eugene J.; Nicol, Stephen; Reid, Keith; Richerson, Kate; Riddle, Martin J.; Rintoul, Stephen R.; Smith, Walker O., Jr.; Southwell, Colin; Stark, Jonathon S.; Sumner, Michael; Swadling, Kerrie M.; Takahashi, Kunio T.; Trathan, Phil N.; Welsford, Dirk C.; Weimerskirch, Henri; Westwood, Karen J.; Wienecke, Barbara C.; Wolf-Gladrow, Dieter; Wright, Simon W.; Xavier, Jose C.; Ziegler, Philippe			Climate change and Southern Ocean ecosystems I: how changes in physical habitats directly affect marine biota	GLOBAL CHANGE BIOLOGY												Antarctic and Southern Ocean (ASO) marine ecosystems have been changing for at least the last 30years, including in response to increasing ocean temperatures and changes in the extent and seasonality of sea ice; the magnitude and direction of these changes differ between regions around Antarctica that could see populations of the same species changing differently in different regions. This article reviews current and expected changes in ASO physical habitats in response to climate change. It then reviews how these changes may impact the autecology of marine biota of this polar region: microbes, zooplankton, salps, Antarctic krill, fish, cephalopods, marine mammals, seabirds, and benthos. The general prognosis for ASO marine habitats is for an overall warming and freshening, strengthening of westerly winds, with a potential pole-ward movement of those winds and the frontal systems, and an increase in ocean eddy activity. Many habitat parameters will have regionally specific changes, particularly relating to sea ice characteristics and seasonal dynamics. Lower trophic levels are expected to move south as the ocean conditions in which they are currently found move pole-ward. For Antarctic krill and finfish, the latitudinal breadth of their range will depend on their tolerance of warming oceans and changes to productivity. Ocean acidification is a concern not only for calcifying organisms but also for crustaceans such as Antarctic krill; it is also likely to be the most important change in benthic habitats over the coming century. For marine mammals and birds, the expected changes primarily relate to their flexibility in moving to alternative locations for food and the energetic cost of longer or more complex foraging trips for those that are bound to breeding colonies. Few species are sufficiently well studied to make comprehensive species-specific vulnerability assessments possible. Priorities for future work are discussed.				Rintoul, Stephen R/A-1471-2012; Stark, Jonathan/ABF-4025-2020; Brandt, Angelika/C-1630-2018; Lea, Mary-Anne/E-9054-2013; Kawaguchi, So/N-1795-2017; Melbourne-Thomas, Jess/N-2437-2019; Bindoff, Nathaniel L/C-8050-2011; Koubbi, Philippe/D-5873-2015; Barbraud, Christophe/A-5870-2012; Boyd, Philip W/J-7624-2014; Weimerskirch, Henri/F-5562-2013; Weimerskirch, Henri/K-7306-2019; Costa, Daniel/E-2616-2013	Rintoul, Stephen R/0000-0002-7055-9876; Stark, Jonathan/0000-0002-4268-8072; Lea, Mary-Anne/0000-0001-8318-9299; Melbourne-Thomas, Jess/0000-0001-6585-876X; Bindoff, Nathaniel L/0000-0001-5662-9519; Barbraud, Christophe/0000-0003-0146-212X; Boyd, Philip W/0000-0001-7850-1911; Weimerskirch, Henri/0000-0002-0457-586X; Hindell, Mark/0000-0002-7823-7185; Wolf-Gladrow, Dieter/0000-0001-9531-8668; Swadling, Kerrie/0000-0002-7620-841X; Costa, Daniel/0000-0002-0233-5782; Kawaguchi, So/0000-0002-2042-5095; Sumner, Michael/0000-0002-2471-7511; Welsford, Dirk/0000-0001-5379-5052; Ziegler, Philippe/0000-0001-5940-9394; Gutt, Julian/0000-0003-3773-9370; Westwood, Karen/0000-0003-1060-7140; Massom, Robert/0000-0003-1533-5084; /0000-0002-9621-6660; Meredith, Michael/0000-0002-7342-7756												1354-1013	1365-2486				OCT	2014	20	10					3004	3025		10.1111/gcb.12623							WOS:000342168500002	24802817					
J	BURTON, R				BURTON, R			BRITISH ANTARCTIC SURVEY PLANS KRILL RESEARCH	FISHING NEWS INTERNATIONAL																													0015-3044						1977	16	5					45	46									WOS:A1977DH02900007						
