authors,title,journal,publishingYear,doi,topic,abstract,score,Reviewed
"möller, l; vainshtein, y; meyer, b; neidhardt, j; eren, am; sohn, k; rabus, r",rich microbial and depolymerising diversity in antarctic krill gut,microbiology spectrum,2024,10.1128/spectrum.04035-23,autumn,"with almost a quadrillion individuals, the antarctic krill processes five million tons of organic carbon every day during austral summer. this high carbon flux requires a broad range of hydrolytic enzymes to decompose the diverse food-derived biopolymers. while krill itself possesses numerous such enzymes, it is unclear, to what extent the endogenous microbiota contribute to the hydrolytic potential of the gut environment. here we applied amplicon sequencing, shotgun metagenomics, cultivation, and physiological assays to characterize the krill gut microbiota. the broad bacterial diversity (273 families, 919 genera, and 2,309 species) also included a complex potentially anaerobic sub-community. plate-based assays with 198 isolated pure cultures revealed widespread capacities to utilize lipids (e.g., tributyrin), followed by proteins (casein) and to a lesser extent by polysaccharides (e.g., alginate and chitin). while most isolates affiliated with the genera pseudoalteromonas and psychrobacter, also rubritalea spp. (verrucomicrobia) were observed. the krill gut microbiota growing on marine broth agar plates possess 13,012 predicted hydrolyses; 15-fold more than previously predicted from a transcriptome-proteome compendium of krill. cultivation-independent and -dependent approaches indicated members of the families flavobacteriaceae and pseudoalteromonadaceae to dominate the capacities for lipid/protein hydrolysis and to provide a plethora of carbohydrate-active enzymes, sulfatases, and laminarin- or porphyrin-depolymerizing hydrolases. notably, also the potential to hydrolyze plastics such as polyethylene terephthalate and polylactatide was observed, affiliating mostly with moraxellaceae. overall, this study shows extensive microbial diversity in the krill gut, and suggests that the microbiota likely play a significant role in the nutrient acquisition of the krill by enriching its hydrolytic enzyme repertoire.importancethe antarctic krill (euphausia superba) is a keystone species of the antarctic marine food web, connecting the productivity of phyto- and zooplankton with the nutrition of the higher trophic levels. accordingly, krill significantly contributes to biomass turnover, requiring the decomposition of seasonally varying plankton-derived biopolymers. this study highlights the likely role of the krill gut microbiota in this ecosystem function by revealing the great number of diverse hydrolases that microbes contribute to the krill gut environment. the here resolved repertoire of hydrolytic enzymes could contribute to the overall nutritional resilience of krill and to the general organic matter cycling under changing environmental conditions in the antarctic sea water. furthermore, the krill gut microbiome could serve as a valuable resource of cold-adapted hydrolytic enzymes for diverse biotechnological applications. the antarctic krill (euphausia superba) is a keystone species of the antarctic marine food web, connecting the productivity of phyto- and zooplankton with the nutrition of the higher trophic levels. accordingly, krill significantly contributes to biomass turnover, requiring the decomposition of seasonally varying plankton-derived biopolymers. this study highlights the likely role of the krill gut microbiota in this ecosystem function by revealing the great number of diverse hydrolases that microbes contribute to the krill gut environment. the here resolved repertoire of hydrolytic enzymes could contribute to the overall nutritional resilience of krill and to the general organic matter cycling under changing environmental conditions in the antarctic sea water. furthermore, the krill gut microbiome could serve as a valuable resource of cold-adapted hydrolytic enzymes for diverse biotechnological applications.",189,DONE
"hellessey, n; ericson, ja; nichols, pd; kawaguchi, s; nicol, s; hoem, n; virtue, p","regional diet in antarctic krill (euphausia superba) as determined by lipid, fatty acid, and sterol composition",polar biology,2022,10.1007/s00300-022-03054-z,autumn,"antarctic krill (euphausia superba) are a circumpolar species with an omnivorous diet. knowledge of krill diet within different regions will help predict how environmental change may impact local krill populations. krill from the atlantic, indian, and pacific sectors of the southern ocean were compared. the total lipid, lipid class, neutral lipid fraction fatty acid and sterol content and composition of whole krill, their digestive glands, and stomachs during the late-summer were examined. indian sector krill had a distinctly different dietary lipid pattern to atlantic and pacific sector krill based on their fatty acid profiles (p < 0.001). indian sector whole krill had higher phospholipids (55.0 +/- 8.9%, % total lipids) compared to pacific (45.9 +/- 3.6%) and atlantic sector whole krill (43.7 +/- 8.2%) but showed lower phospholipid levels in their digestive glands (29.4 +/- 8.5%, 52.5 +/- 5.7%, 52.5 +/- 5.9%, respectively). indian sector krill had a more copepod and diatomaceous diet (higher levels of 16:1n-7c, 14:0 and 20:1 and 22:1 isomers), with less flagellate input (lower 18:4n-3, 21:5n-3 and 18:3n-6) than other regions. krill from one site in the indian sector had particularly high 22:6n-3 levels. indian sector krill had lower cholesterol levels in their stomachs (52.5 +/- 14.1%, as % total sterols) than pacific and atlantic sector krill stomachs (62.8 +/- 1.9% and 60.9 +/- 4.9%, respectively). this study details the regional differences in late-summer krill diet by assessing the lipid, neutral lipid fraction fatty acid and sterol content and composition of different tissue types.",96,
"yang, qy; reid, k; zhu, gp","biological-physical processes regulate autumn prey availability of spiny icefish chaenodraco wilsoni in the bransfield strait, antarctic",journal of fish biology,2022,10.1111/jfb.15120,autumn,"this study examines the adaptability of a southern ocean predator, which is dependent on antarctic krill (euphausia superba), to potential changes in food availability. muscle fatty acids (fas) of the spiny icefish chaenodraco wilsoni collected from three areas in the bransfield strait (bs), northern antarctic peninsula during february-april 2016 give a good representation of their feeding variability. the compositions of 22:6n3 (dha) and 20:5n3 (epa) were both higher in the transitional zonal water with bellingshausen influence (tbw)-controlled c. wilsoni than in the transitional zonal water with weddell sea influence (tww)-controlled fish. this was positively correlated with photoadaptation and carbon sequestration in tbw-controlled phytoplankton. results for the fas 16:1n7, 16:0, dha and epa indicate the presence of dinoflagellates in all three areas, suggesting that during late summer and early fall, there is a seasonal phytoplankton succession, where small phytoplankton become dominant, in the bs. in addition, the compositions of some long-chain fas (>20, such as 20:0, 20:1, 22:0 and 22:1n9) and n-ary sumation 18 indicated that the food chain based on flagellates and copepods was more apparent in tww-controlled c. wilsoni, especially the effect of el nino-southern oscillation (enso) on the variation of prey communities in tww-controlled areas. fa markers such as sfa/(pufa+mufa), n-ary sumation 15 + n-ary sumation 17 and ara were more pronounced in tww-controlled c. wilsoni, indicating a more strongly carnivorous and benthic food source. in the tbw-tww confluence, the complex hydrological structure, including the presence of a large number of mesoscale eddies, allows rich nutrients and krill larvae to remain in it, providing a rich food source for the c. wilsoni. overall, the fa data of this study show that the diet of c. wilsoni varies in different marine environments, aiding their survivability at the face of climate change.",93,
"zhao, yx; wang, xl; zhang, jc; zhao, xy; ying, yp; zhu, jc; fan, gz; xu, qc; liu, l; mu, xx","seasonal dynamics of an antarctic krill resource hot spot in the bransfield strait, antarctica",marine and coastal fisheries,2025,10.1093/mcfafs/vtaf012,autumn,"objective antarctic krill euphausia superba is an important species in the southern ocean ecosystem. understanding the trends and variability of the krill biomass is critical for understanding the three-way interactions between resources, krill-dependent predators, and fisheries, particularly given the recent concentration of fishing activities in specific areas. the purpose of this study was to enhance our understanding of the seasonal dynamics and potential influence of environmental factors in a krill resource hot spot in the bransfield strait.methods based on acoustic data that were collected by krill fishing vessels during the 2012/2013 to 2021/2022 fishing seasons, this study used statistical bootstrapping to identify a perennial hot spot of krill at the bransfield strait. the data for catch per effort were also analyzed to corroborate the trends that were observed in the acoustic data. additionally, a correlational analysis was conducted to determine the relation between the physical environment and krill density.results the results suggested that krill biomass exhibited seasonal dynamic variation, characterized by substantial monthly increases from austral summer to autumn. the local scale of the krill biomass in the hot spot during autumn could be several times greater than that estimated from acoustic transect surveys for the entire bransifield strait stratum in summer. the data for catch per effort supported the trend of monthly variability. krill were found to be concentrated mainly in sea areas with temperature ranges of -1 degrees c to 1.5 degrees c and flow velocities <0.05 m/s. the position of oceanic fronts and the properties of water masses strongly regulated the seasonal variation in krill density.conclusions the study identified a perennial krill hot spot in the bransfield strait that is characterized by significant seasonal variation in biomass. the findings highlight the importance of specific environmental conditions in regulating krill density and suggest that understanding these dynamics is crucial for managing krill fisheries and protecting krill-dependent predators.",86,
"heyen, s; töpker, v; kopke, b; cakic, n; hueppe, l; meyer, b; wilkes, h","variations of the metabolome in the digestive system of antarctic krill, euphausia superba, between summer and autumn",plos one,2025,10.1371/journal.pone.0327747,autumn,"rapid climate change threatens the relatively pristine environment of the southern ocean. the effects on biogeochemical cycles and their subsequent consequences for the organisms in this area are of significant interest. antarctic krill, euphausia superba, is the dominant species in the antarctic ecosystem and a vital component of the southern ocean food web. its metabolism is influenced by the feeding regime, which is governed by environmental conditions. however, little is yet known about the metabolome of antarctic krill. here, we investigated metabolite classes that can serve as tracers for documenting variations in the metabolic and biochemical status of krill. to this end, we utilised targeted metabolomics to analyse coenzyme a thioesters, amino acids, b vitamins, and respiratory quinones in the digestive system of antarctic krill, sampled during two campaigns in the antarctic summer and autumn. a significant proportion of the detected coenzyme a thioesters were associated with the beta-oxidation of fatty acids and, consequently, with lipid metabolism. propionyl-coa was particularly abundant in samples from the digestive gland, while malonyl- and succinyl-coa were more prevalent in stomach and hindgut samples. 3-hydroxy-3-methylglutaryl-coa, an intermediate in the metabolism of branched amino acids and the biosynthesis of isoprenoids, occurred almost exclusively in the summer samples. analyzing the free amino acids, very high levels of the non-proteinogenic amino acid sarcosine were found, which possibly serves as an osmolyte for the antarctic krill and/or plays a role in its digestive process. among the b vitamins, there were seasonal fluctuations, particularly in b1 and b5. the respiratory quinones exhibited more homogeneous patterns, with uq10:10 as the dominant representative. these seasonal and organ-dependent variations in the composition of the different metabolite classes can serve as a reference point in future studies to better assess the influence of changing conditions in antarctic waters.",72,
"yang, qy; zhu, gp",biochemical tracers in spiny icefish (chaenodraco wilsoni) as indicators of variability in the diet of antarctic krill (euphausia superba) in a highly dynamic environment,journal of marine systems,2024,10.1016/j.jmarsys.2023.103907,autumn,"spiny icefish (chaenodraco wilsoni), a common high-antarctic ichthyofauna icefish, exhibits variable feeding habits in regions around the southern ocean. in the bransfield strait (bs), c. wilsoni has received considerable attention as it preys predominantly on krill. antarctic krill (euphausia superba), the keystone species in the southern ocean, has a versatile feeding strategy, particularly in a highly dynamic environment. the central basin of the bs is a highly dynamic environment, providing an ideal place to explore the application of biochemical tracers in a specialist predator to reveal the diet of its prey. in this study, fatty acid and stable isotopic data demonstrated that the trophic niche of c. wilsoni expanded from late austral summer to early fall, which was primarily reflected in variability in the food availability of krill, i.e., herbivorous features were weakened, benthic-feeding features were strengthened, and omnivorous features showed no significant difference. a highly dynamic hydrography, coupled with an unusual diatom bloom in the bs during 2016, may have resulted in krill's prolonged filtering on diatoms in the water column, which was further reflected in the difference in biochemical tracers of c. wilsoni from late austral summer to early fall. the study demonstrated that biochemical tracers can be used to reflect the variability in the diet of prey, particularly in a highly dynamic environment.",67,
"heyen, s; schneider, v; hüppe, l; meyer, b; wilkes, h","variations of intact phospholipid compositions in the digestive system of antarctic krill, euphausia superba, between summer and autumn",plos one,2023,10.1371/journal.pone.0295677,autumn,"the biochemical composition of antarctic krill, euphausia superba, is largely determined by their feeding behaviour. as they supply energy for animals of a higher trophic level and are also commercialized for human consumption, the interest in research on the species is high. lipids, especially phospholipids, make up a high proportion of dry weight in krill. seasonal changes are well documented in the fingerprint of free fatty acids analysed after hydrolysis of phospholipids, but the underlying intact polar lipids are rarely considered. in this study, we evaluated the compositions of intact phospholipids (ipls) in the stomach, digestive gland and hind gut of antarctic krill caught in summer and autumn at the antarctic peninsula region. using high-resolution mass spectrometry, the fatty acid composition of 179 intact phospholipids could be resolved. most ipls were phosphatidylcholines, followed by phosphatidylethanolamines. several very long chain polyunsaturated fatty acids up to 38:8, which have not been reported in krill before, were identified. the composition shifted to higher molecular weight ipls with a higher degree of unsaturation for summer samples, especially for samples of the digestive gland. the data supplied in this paper provides new insights into lipid dynamics between summer and autumn usually described by free fatty acid biomarkers.",65,
"chen, z; chen, xz; zhu, gp",ecological niche and habitat use of antarctic krill (euphausia superba) and the pelagic tunicate (salpa thompsoni) under future climate change: further overlap or separation?,biodiversity and conservation,2025,10.1007/s10531-025-03042-9,autumn,"antarctic krill (euphausia superba) and salps (salpa thompsoni) are vital and important macrozooplankton grazers in the southern ocean ecosystem. however, the impact of climate change on their habitats remains unclear, particularly regarding the potential spatial displacement of krill habitats due to the southward expansion of salps. understanding the interactions between these two key species in the southern ocean ecosystem is therefore crucial. this study used ecological niche modeling to predict the austral summer and autumn habitat distribution and ecological niches of krill and salps during the period (1996-2015) and under future scenarios (2050s and 2100s). the results showed that krill are mainly distributed in shelf regions, while salps are more prevalent in open ocean areas farther north compared to krill, such as the lazarev sea. additionally, some overlap in their distributions is observed in the western antarctic peninsula, the kerguelen islands and the ross sea. under future scenarios, both krill and salps are projected to experience a reduction in their high-potential habitats, with decreasing spatial and ecological overlap. this study emphasizes the significance of krill and salps interactions in the southern ocean ecosystem. the findings provide valuable information for the conservation and management of the southern ocean ecosystem.",64,
"primpke, s; meyer, b; falcou-préfol, m; schütte, w; gerdts, g","at second glance: the importance of strict quality control - a case study on microplastic in the southern ocean key species antarctic krill, euphausia superba",science of the total environment,2024,10.1016/j.scitotenv.2024.170618,autumn,"the stomach content of 60 krill specimens from the southern ocean were analyzed for the presence of microplastic (mp), by testing different sample volumes, extraction approaches, and applying hyperspectral imaging fourier-transform infrared spectroscopy (mu ftir). strict quality control was applied on the generated results. a high load of residual materials in pooled samples hampered the analysis and avoided a reliable determination of putative mp particles. individual krill stomachs displayed reliable results, however, only after re -treating the samples with hydrogen peroxide. before this treatment, lipid rich residues of krill resulted in false assignments of polymer categories and hence, false high mp particle numbers. finally, mp was identified in 4 stomachs out of 60, with only one mp particle per stomach. our study highlights the importance of strict quality control to verify results before coming to a final decision on mp contamination in the environment to aid the establishment of suitable internationally standardized protocols for sampling and analysis of mp in organisms including their habitats in southern ocean and worldwide.",62,
"bahlburg, d; menze, s; krafft, ba; lowther, ad; meyer, b",mapping encounters between antarctic krill fishing vessels and air-breathing krill predators using acoustic data from the fishery,proceedings of the national academy of sciences of the united states of,2025,10.1073/pnas.2417203122,autumn,"antarctic krill is a keystone species in the antarctic marine ecosystem and the target of a growing fishery. given the ecological importance of krill, concerns have been raised about potential negative impacts of fishing on the southern ocean ecosystem. resource-efficient approaches to fisheries monitoring are particularly valuable in this context due to the high costs associated with data collection in antarctica. in this study, we trained a segmentation model (u-net) to extract dives of air-breathing krill predators from more than 30,000 h of active acoustic data collected by three krill fishing vessels over six years. we were able to characterize the temporal and spatial dynamics of predator-vessel co-occurrences, which aligned well with the findings from more costly tracking studies. for example, we found that encounters with whales consistently peaked in autumn around the antarctic peninsula, when whales are building up fat reserves for their migration to breeding grounds. we also demonstrated that protection measures, introduced to protect breeding penguins at the antarctic peninsula, have simply shifted penguin-vessel encounters to the south orkney islands, where the affected colonies are not currently monitored. our approach, results, and application example demonstrate how acoustic data from fishing vessels can provide important information to support fisheries management. as a by-product of fishing operations, these data are costeffective, offering unique temporal and spatial coverage and providing a useful basis for rapid, low-level assessments of the fishery's interaction with the wider ecosystem. this is particularly important given the unpredictable dynamics of krill fishery management decision-making.",62,
"möller, l; vainstein, y; wöhlbrand, l; dörries, m; meyer, b; sohn, k; rabus, r",transcriptome-proteome compendium of the antarctic krill (euphausia superba): metabolic potential and repertoire of hydrolytic enzymes,proteomics,2022,10.1002/pmic.202100404,autumn,"the antarctic krill (euphausia superba dana) is a keystone species in the southern ocean that uses an arsenal of hydrolases for biomacromolecule decomposition to effectively digest its omnivorous diet. the present study builds on a hybrid-assembled transcriptome (13,671 orfs) combined with comprehensive proteome profiling. the analysis of individual krill compartments allowed detection of significantly more different proteins compared to that of the entire animal (1464 vs. 294 proteins). the nearby krill sampling stations in the bransfield strait (antarctic peninsula) yielded rather uniform proteome datasets. proteins related to energy production and lipid degradation were particularly abundant in the abdomen, agreeing with the high energy demand of muscle tissue. a total of 378 different biomacromolecule hydrolysing enzymes were detected, including 250 proteases, 99 cazymes, 14 nucleases and 15 lipases. the large repertoire in proteases is in accord with the protein-rich diet affiliated with e. superba's omnivorous lifestyle and complex biology. the richness in chitin-degrading enzymes allows not only digestion of zooplankton diet, but also the utilisation of the discharged exoskeleton after moulting.",55,
"johannessen, ed; krafft, ba; donovan, cr; wiff, r; caneco, b; lowther, a",sensitivity of the stock assessment for the antarctic krill fishery to time-varying natural and fishing mortality,fisheries management and ecology,2024,10.1111/fme.12721,autumn,"the stock assessment model for the antarctic krill fishery is a population model operating on daily timesteps, which permits modeling within-year patterns of some population dynamics. we explored the effects of including within-year patterns in natural and fishing mortality on catch limits of krill, by incorporating temporal presence of key predator species and contemporary temporal trends of the fishing fleet. we found that inclusion of within-year variation in natural and fishing mortalities increased catch limits. fishing mortality had a greater effect than natural mortality despite differences in top-down predation on krill, and potentially increased catch limits by 24% compared to the baseline model. additionally, the stock assessment model allowed a higher catch limit when fishing was during peak summer months than autumn. number of days with active fishing was negatively related to precautionary catch limits. future stock assessments should incorporate contemporary spatiotemporal fishing trends and consider implementing additional ecosystem components into the model.",55,
"xue, f; zhu, gp",shifts in food composition of antarctic krill (euphausia superba) enhance coexistence with the pelagic tunicate (salpa thompsoni),marine biology,2024,10.1007/s00227-024-04553-9,autumn,"antarctic krill (euphausia superba) is a keystone species in the antarctic marine ecosystem. the pelagic tunicate (salpa thompsoni) interacts with krill in diverse aspects, which imposes krill distribution and even survival, especially under the context of changing climate. understanding the diet of both species during autumn-a season with shifting food composition and availability-is critically understudied. therefore, this study aims to investigate the diet composition and trophic ecological niches of krill and salps in the bransfield strait during autumn in 2022 using stomach content, fatty acid (fa), and stable isotope analyses. stomach content analysis revealed that krill primarily consumed copepods, while salps primarily consumed diatoms. fa analysis confirmed significant differences between the fa markers of diatoms and copepods for each species, aligning with stomach content analyses. stable isotope analysis also indicated low overlap of trophic niches. by consuming more copepods, krill may reduce direct dietary competition with the less prevalent salps during autumn. although the feeding strategy (active or passive) exerted by krill is warranted to further investigate, the differentiated feeding pattern occupied by two species promotes their coexistence.",52,
"manno, c; corsi, i; rowlands, e; bergami, e",plastics counteract the ability of antarctic krill to promote the blue carbon pathway in the deep ocean,marine pollution bulletin,2024,10.1016/j.marpolbul.2024.117238,autumn,"the antarctic krill (euphausia superba) play a critical role in promoting the so-called ""blue carbon pathway"" by producing a large amount of fast-sinking faecal pellets (fps) which facilitate the transport of co2 through the water column. here we assess how exposure to negatively (ps-cooh) and positively (ps-nh2) charged polystyrene nanoparticles, impacts degradation of krill fps (i.e. change in peritrophic membrane state, carbon concentration and carbon/nitrogen ratio). our findings suggest that exposure of nanoplastics, particularly negatively charged particles, increases krill fp degradation. this can result in a potential loss of fp-sequestrated c of up to 27 %, equivalent to up 5.5 mt. c per productive season (spring-early autumn). this study provides new insights into how increasing levels of plastic pollution could affect the natural capital provided by krill fps. the effect of this emerging anthropogenic contaminant should be considered by international policies focused on climate change mitigation and adaptation.",51,
"chen, z; liu, h; zhu, gp",the effects of environmental variables on hotspots of antarctic krill (euphausia superba) in the bransfield strait during autumn,polar science,2023,10.1016/j.polar.2023.100948,autumn,"antarctic krill (euphausia superba), a typical aggregation species, is the keystone species in the antarctic ecosystem and supports an important fishery in the southern ocean. the unique topographic conditions of this region provide an important habitat for krill, and it has therefore become a critical krill fishing ground. to investigate the factors affecting krill hotspot patterns in the central basin of the bransfield strait in autumn 2021, an area with a high level of krill biomass and a persistent fishing ground, we used getis-ord gi* approach to perform a hotspot analysis of the spatial and temporal variability of krill distribution. from this analysis we examined the relationship between krill distribution in hotspot and coldspot areas and environment variables such as geospatial features and eddy kinetic energy. we found that environmental variables generally showed opposing trends for krill distribution at hot-and coldspot areas. moreover, geospatial features, including the distance to 200m and 1000m isobaths and depth, may be the dominant factor determining krill habitat char-acteristics, and moderate levels of eddy kinetic energy were conducive to krill aggregation.",49,
